Ort,Provinz,Wert,Date,Periode,Price,Erhaltung,Issuer,Title
Unterhausen,Württemberg,1 Mk,oD,Notgeld von 1914,25.0,I,Carl Burkhardt," , , , entw."
Blaubeuren,Württemberg,2 Mk,oD,Großgeld 1918,10.0,I,Amtskörperschaft," , , , No KN durchgestrichen"
Blaubeuren,Württemberg,5 Mk,oD,Großgeld 1918,10.0,I,Amtskörperschaft," , , , No KN durchgestrichen"
Blaubeuren,Württemberg,20 Mk,oD,Großgeld 1918,10.0,I,Amtskörperschaft," , , , No KN durchgestrichen"
Geislingen,Württemberg,50 Mk,NoDate,Großgeld 1918,9.0,I,Amtskörperschaft," , , Nov. 18"
Heidenheim,Württemberg,5 Mk,NoDate,Großgeld 1918,25.0,I-,Stadt," , , Nov. 18, KN 3,6 mm ohne PSt"
Heidenheim,Württemberg,20 Mk,NoDate,Großgeld 1918,50.0,I,Stadt," , , Nov. 18, KN 3,6 mm mit PSt"
Heidenheim,Württemberg,20 Mk,NoDate,Großgeld 1918,22.0,I,Stadt," , , Nov. 18, ohne PSt"
Heilbronn,Württemberg,5 Mk,17.10.18,Großgeld 1918,8.0,I,Stadtgemeinde," , , , Pap. Dick, No KN, entwertet"
Heilbronn,Württemberg,20 Mk,12.10.18,Großgeld 1918,45.0,I,Stadtgemeinde," , , , Pap dick, KN schwarz, gelocht"
Heilbronn,Württemberg,50 Mk,17.10.18,Großgeld 1918,9.0,I-,Stadtgemeinde," , , , Pap dünn, № KN 8*, entwertet"
Maulbronn,Württemberg,10 Mk,31.12.18,Großgeld 1918,10.0,I,Amtskörperschaft," , , , KN schwarz, entw."
Maulbronn,Württemberg,10 Mk,31.12.18,Großgeld 1918,3.0,I,Amtskörperschaft," , , , KN rot, entwertet"
Maulbronn,Württemberg,5 Mk,31.12.18,Großgeld 1918,3.0,I,Amtskörperschaft," , , , KN rot, entwertet"
Neckarsulm,Württemberg,20 Mk,15.11.18,Großgeld 1918,12.0,I,Stadt," , , "
Reutlingen,Württemberg,10 Mk,1.11.18,Großgeld 1918,15.0,II,Stadt," , , , Wz. ineinandergestellte Kreise"
Reutlingen,Württemberg,10 Mk,1.11.18,Großgeld 1918,12.0,I-,Stadt," , , , St. ""wertlos"""
Schwäbisch Gmünd,Württemberg,10 Mk,oD,Großgeld 1918,25.0,I,Oberamtsstadt," , , , ohne KN"
Schwäbisch Gmünd,Württemberg,20 Mk,oD,Großgeld 1918,20.0,II+,Oberamtsstadt," , , "
Schwäbisch Gmünd,Württemberg,50 Mk,oD,Großgeld 1918,22.0,II,Oberamtsstadt," , , "
Schwäbisch Gmünd,Württemberg,50 Mk,oD,Großgeld 1918,30.0,I,Oberamtsstadt," , , , ohne KN"
Stuttgart,Württemberg,20 Mk,oD,Großgeld 1918,120.0,I,Stadt," , , , unentwertet"
Stuttgart,Württemberg,20 Mk,oD,Großgeld 1918,80.0,III,Stadt," , , , KN 3,5 mm., mit PSt"
Stuttgart,Württemberg,20 Mk,oD,Großgeld 1918,75.0,I,Stadt," , , , KN 3,5 mm., mit PSt, entwertet"
Stuttgart,Württemberg,20 Mk,oD,Großgeld 1918,70.0,I,Stadt," , , , ""Ungültig"" waagerecht gedruckt"
