Ort,price,Provinz,Wert,Periode,Erhaltung,Katalog,url,title,date
Unterhausen,25.0,Württemberg,1 Mk,Notgeld von 1914,I,1914_0408.2e,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/notgeld-von-1914/99992/unterhausen-carl-burkhardt-1-mk-od-entw.?c=367,"Unterhausen, Carl Burkhardt, 1 Mk, oD, entw.",NoDate
Blaubeuren,10.0,Württemberg,2 Mk,Großgeld 1918,I,1918_0049.01a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61219/blaubeuren-amtskoerperschaft-2-mk-od-no-kn-durchgestrichen?c=367,"Blaubeuren, Amtskörperschaft, 2 Mk, oD, No KN durchgestrichen",NoDate
Blaubeuren,10.0,Württemberg,5 Mk,Großgeld 1918,I,1918_0049.02a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61221/blaubeuren-amtskoerperschaft-5-mk-od-no-kn-durchgestrichen?c=367,"Blaubeuren, Amtskörperschaft, 5 Mk, oD, No KN durchgestrichen",NoDate
Blaubeuren,10.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0049.03a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61222/blaubeuren-amtskoerperschaft-20-mk-od-no-kn-durchgestrichen?c=367,"Blaubeuren, Amtskörperschaft, 20 Mk, oD, No KN durchgestrichen",NoDate
Geislingen,9.0,Württemberg,50 Mk,Großgeld 1918,I,1918_0170.03,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61311/geislingen-amtskoerperschaft-50-mk-nov.-18?c=367,"Geislingen, Amtskörperschaft, 50 Mk, Nov. 18",NoDate
Heidenheim,25.0,Württemberg,5 Mk,Großgeld 1918,I-,1918_0227.01b,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61334/heidenheim-stadt-5-mk-nov.-18-kn-3-6-mm-ohne-pst?c=367,"Heidenheim, Stadt, 5 Mk, Nov. 18, KN 3,6 mm ohne PSt",NoDate
Heidenheim,50.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0227.02a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61335/heidenheim-stadt-20-mk-nov.-18-kn-3-6-mm-mit-pst?c=367,"Heidenheim, Stadt, 20 Mk, Nov. 18, KN 3,6 mm mit PSt",NoDate
Heidenheim,22.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0227.02b,https://www.gap-banknoten.de/detail/index/sArticle/136142/sCategory/367,"Heidenheim, Stadt, 20 Mk, Nov. 18, ohne PSt",NoDate
Heilbronn,8.0,Württemberg,5 Mk,Großgeld 1918,I,1918_0228.02,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61336/heilbronn-stadtgemeinde-5-mk-17.10.18-pap.-dick-no-kn-entwertet?c=367,"Heilbronn, Stadtgemeinde, 5 Mk, 17.10.18, Pap. Dick, No KN, entwertet",17.10.18
Heilbronn,45.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0228.06,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/81445/heilbronn-stadtgemeinde-20-mk-12.10.18-pap-dick-kn-schwarz-gelocht?c=367,"Heilbronn, Stadtgemeinde, 20 Mk, 12.10.18, Pap dick, KN schwarz, gelocht",12.10.18
Heilbronn,9.0,Württemberg,50 Mk,Großgeld 1918,I-,1918_0228.07be,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61338/heilbronn-stadtgemeinde-50-mk-17.10.18-pap-duenn-kn-8-entwertet?c=367,"Heilbronn, Stadtgemeinde, 50 Mk, 17.10.18, Pap dünn, № KN 8*, entwertet",17.10.18
Maulbronn,10.0,Württemberg,10 Mk,Großgeld 1918,I,1918_0352.02aae,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61370/maulbronn-amtskoerperschaft-10-mk-31.12.18-kn-schwarz-entw.?c=367,"Maulbronn, Amtskörperschaft, 10 Mk, 31.12.18, KN schwarz, entw.",31.12.18
Maulbronn,3.0,Württemberg,10 Mk,Großgeld 1918,I,1918_0352.02abe,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61371/maulbronn-amtskoerperschaft-10-mk-31.12.18-kn-rot-entwertet?c=367,"Maulbronn, Amtskörperschaft, 10 Mk, 31.12.18, KN rot, entwertet",31.12.18
Maulbronn,3.0,Württemberg,5 Mk,Großgeld 1918,I,1918_0352.02ae,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61373/maulbronn-amtskoerperschaft-5-mk-31.12.18-kn-rot-entwertet?c=367,"Maulbronn, Amtskörperschaft, 5 Mk, 31.12.18, KN rot, entwertet",31.12.18
Neckarsulm,12.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0368.02,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61390/neckarsulm-stadt-20-mk-15.11.18?c=367,"Neckarsulm, Stadt, 20 Mk, 15.11.18",15.11.18
Reutlingen,15.0,Württemberg,10 Mk,Großgeld 1918,II,1918_0448.02,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/81447/reutlingen-stadt-10-mk-1.11.18-wz.-ineinandergestellte-kreise?c=367,"Reutlingen, Stadt, 10 Mk, 1.11.18, Wz. ineinandergestellte Kreise",NoDate
Reutlingen,12.0,Württemberg,10 Mk,Großgeld 1918,I-,1918_0448.02a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61413/reutlingen-stadt-10-mk-1.11.18-st.-wertlos?c=367,"Reutlingen, Stadt, 10 Mk, 1.11.18, St. ""wertlos""",NoDate
Schwäbisch Gmünd,25.0,Württemberg,10 Mk,Großgeld 1918,I,1918_0486.02b,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/101047/schwaebisch-gmuend-oberamtsstadt-10-mk-od-ohne-kn?c=367,"Schwäbisch Gmünd, Oberamtsstadt, 10 Mk, oD, ohne KN",NoDate
Schwäbisch Gmünd,20.0,Württemberg,20 Mk,Großgeld 1918,II+,1918_0486.03a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61447/schwaebisch-gmuend-oberamtsstadt-20-mk-od?c=367,"Schwäbisch Gmünd, Oberamtsstadt, 20 Mk, oD",NoDate
Schwäbisch Gmünd,22.0,Württemberg,50 Mk,Großgeld 1918,II,1918_0486.04a,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61449/schwaebisch-gmuend-oberamtsstadt-50-mk-od?c=367,"Schwäbisch Gmünd, Oberamtsstadt, 50 Mk, oD",NoDate
Schwäbisch Gmünd,30.0,Württemberg,50 Mk,Großgeld 1918,I,1918_0486.04b,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/101048/schwaebisch-gmuend-oberamtsstadt-50-mk-od-ohne-kn?c=367,"Schwäbisch Gmünd, Oberamtsstadt, 50 Mk, oD, ohne KN",NoDate
Stuttgart,120.0,Württemberg,20 Mk,Großgeld 1918,I,1918_0515.02,https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/grossgeld-1918/61474/stuttgart-stadt-20-mk-od-unentwertet?c=367,"Stuttgart, Stadt, 20 Mk, oD, unentwertet",NoDate
