"'","'","'","'","'","'","'","'ben ","'gülltigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bro3. Winteil ber fath. 9B- völfg. ","'9Bahl- be- teili- guing in % ","'gebene gülttige Gtim- men ","'Go. atal- Demo- fratie ","'8en- frum ","'Bau- ern- u. gärt- ner. Bunb ","'Deut- fde Demo- trat. Bart. ","'Rom+ mite nift. Bart. ","'©.'na- tionale Bolto- partei ","'Deut- fde Bolto- part.u. 9olfo- fonf. Bergg. ","'Chrl. bient ","'redit- partei ","'Ratio- nal- foa. Wrb. Bartei ",
"'Gtuttgart-Gtabt ","'18,8 ","'77,5 ","'218364¹ ","'56 825 ","'21 455 ","'947 ","'15 266 ","'33392 ","'17 806 ","'6 267 ","'8 740 ","'4501 ","'51 747 ",
"'Walen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Malen ","'46,7 ","'82,0 ","'6 801 ","'1 280 ","'1 966 ","'118 ","'241 ","'562 ","'394 ","'96 ","'238 ","'174 ","'1 732 ",
"'","'94,6 ","'82,7 ","'607 ","'15 ","'487 ","'33 ","'4 ","'5 ","'3 ","'- ","'- ","'5 ","'55 ",
"'","'22,8 ","'51,5 ","'396 ","'24 ","'93 ","'62 ","'7 ","'21 ","'20 ","'6 ","'14 ","'1 ","'148 ",
"'Dewangen ","'86,6 ","'74,9 ","'450 ","'10 ","'284 ","'109 ","'2 ","'2 ","'2 ","'- ","'1 ","'2 ","'38 ",
"'Effingen ","'7,6 ","'56,7 ","'530 ","'145 ","'16 ","'171 ","'5 ","'4 ","'16 ","'3 ","'13 ","'8 ","'149 ",
"'FadjenfeId ","'88,0 ","'80,7 ","'604 ","'85 ","'382 ","'28 ","'- ","'64 ","'2 ","'- ","'10 ","'1 ","'32 ",
"'beudlingen ","'96,5 ","'81,2 ","'343 ","'14 ","'209 ","'81 ","'- ","'4 ","'1 ","'- ","'- ","'4 ","'30 ",
"'bofen ","'97,0 ","'85,8 ","'542 ","'47 ","'415 ","'23 ","'3 ","'32 ","'- ","'- ","'1 ","'1 ","'20 ",
"'Sobenftabt ","'86,6 ","'76,9 ","'294 ","'8 ","'229 ","'24 ","'1 ","'1 ","'3 ","'3 ","'9 ","'1 ","'15 ",
"'büttlingen . ","'97,9 ","'78,7 ","'866 ","'60 ","'590 ","'99 ","'2 ","'30 ","'3 ","'2 ","'- ","'4 ","'76 ",
"'gaubad) ","'30,6 ","'75,8 ","'172 ","'4 ","'23 ","'71 ","'1 ","'1 ","'5 ","'1 ","'- ","'1 ","'65 ",
"'gauterburg ","'3,3 ","'71,8 ","'205 ","'14 ","'- ","'74 ","'2 ","'3 ","'4 ","'1 ","'9 ","'- ","'98 ",
