"'","'","'","'","'","'","'9on ","'Den ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bros. 9nteil ber tath. 9e- böltg. ","'Babl- be- teili- gung in % ","'stbge. gebene gültige Gtim- men ","'Go gial- Demo tratte ","'Ben- trum ","'Baux ern u. gärt- ner Bund ","'Deut (d)e De- mo frat. Bartet ","'Scom mu nift. Bartei ","'D.'na- tionale Bolte- partei ","'Deut fde part. it 9ollo tonf. Bergg. ","'Œbrt. Bolts- bienft ","'Bolfo- redyt partei ","'Ratio nal- for. Deufidje Wrb. Partei ",
"'","'0,7 ","'60,5 ","'786 ","'127 ","'2 ","'314 ","'21 ","'68 ","'12 ","'4 ","'12 ","'10 ","'216 ",
"'a. 91. ","'0,7 ","'62,2 ","'848 ","'219 ","'3 ","'300 ","'93 ","'56 ","'13 ","'13 ","'22 ","'7 ","'122 ",
"'Rleiningersheim ","'0,9 ","'63,3 ","'186 ","'72 ","'- ","'44 ","'4 ","'1 ","'1 ","'4 ","'2 ","'2 ","'56 ",
"'gauffen a. 91. ","'3,1 ","'71,1 ","'2 369 ","'598 ","'13 ","'633 ","'96 ","'293 ","'36 ","'7 ","'88 ","'15 ","'590 ",
"'gödgau ","'1,0 ","'71,2 ","'679 ","'223 ","'- ","'104 ","'30 ","'33 ","'14 ","'5 ","'11 ","'13 ","'246 ",
"'gledarweftbeim ","'1,1 ","'55,3 ","'479 ","'76 ","'2 ","'231 ","'14 ","'46 ","'8 ","'2 ","'17 ","'6 ","'77 ",
"'","'0,7 ","'64,8 ","'125 ","'17 ","'- ","'83 ","'3 ","'3 ","'- ","'1 ","'4 ","'- ","'14 ",
"'Balljeim ","'0,4 ","'72,4 ","'580 ","'76 ","'2 ","'125 ","'19 ","'46 ","'10 ","'2 ","'4 ","'2 ","'294 ",
"'Gumme ","'2,7 ","'67,2 ","'15010 ","'793 ","'154 ","'3 365 ","'1081 ","'1 167 ","'288 ","'252 ","'593 ","'220 ","'4 097 ",
"'Biberad) ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Biberad) ","'63,7 ","'73,3 ","'5 264 ","'552 ","'2 136 ","'81 ","'143 ","'159 ","'334 ","'109 ","'135 ","'38 ","'1 577 ",
"'","'100,0 ","'76,0 ","'94 ","'4 ","'80 ","'4 ","'- ","'- ","'- ","'- ","'- ","'- ","'6 ",
"'%llberweiler ","'99,8 ","'74,1 ","'185 ","'- ","'166 ","'7 ","'- ","'1 ","'- ","'- ","'- ","'2 ","'9 ",
"'Mitheim ","'97,7 ","'94,4 ","'349 ","'1 ","'294 ","'5 ","'1 ","'3 ","'2 ","'2 ","'1 ","'6 ","'34 ",
"'Apfingen ","'99,7 ","'86,8 ","'379 ","'15 ","'320 ","'17 ","'2 ","'1 ","'- ","'1 ","'- ","'- ","'23 ",
"'","'100,0 ","'83,3 ","'244 ","'2 ","'179 ","'6 ","'- ","'1 ","'3 ","'3 ","'- ","'- ","'50 ",
"'Wittenweiler ","'45,2 ","'70,6 ","'264 ","'9 ","'81 ","'118 ","'3 ","'2 ","'1 ","'- ","'1 ","'- ","'49 ",
"'Nufbofen ","'98,6 ","'88,4 ","'272 ","'6 ","'239 ","'5 ","'- ","'5 ","'1 ","'4 ","'1 ","'- ","'11 ",
"'Bellamont ","'100,0 ","'52,4 ","'166 ","'6 ","'112 ","'13 ","'1 ","'- ","'- ","'- ","'3 ","'1 ","'30 ",
"'Bergerhaufen ","'43,2 ","'74,7 ","'319 ","'18 ","'155 ","'37 ","'2 ","'1 ","'9 ","'4 ","'13 ","'3 ","'77 ",
"'Birfenhard ","'99,2 ","'86,6 ","'200 ","'3 ","'182 ","'6 ","'- ","'- ","'1 ","'2 ","'- ","'- ","'6 ",
"'Dettingen a. b. S. ","'98,2 ","'54,2 ","'349 ","'23 ","'123 ","'80 ","'1 ","'26 ","'6 ","'- ","'- ","'2 ","'88 ",
"'Erlenmoos ","'97,3 ","'82,1 ","'490 ","'3 ","'423 ","'16 ","'- ","'1 ","'4 ","'- ","'- ","'- ","'43 ",
"'Grolabeim ","'98,6 ","'68,7 ","'595 ","'13 ","'374 ","'94 ","'5 ","'3 ","'5 ","'6 ","'1 ","'- ","'94 ",
"'Sifdbad) ","'92,9 ","'87,4 ","'191 ","'2 ","'97 ","'42 ","'- ","'2 ","'1 ","'1 ","'1 ","'- ","'45 ",
"'Füromoos ","'99,8 ","'77,4 ","'201 ","'- ","'169 ","'12 ","'- ","'3 ","'- ","'1 ","'- ","'- ","'16 ",
"'Grobt ","'100,0 ","'79,7 ","'47 ","'- ","'36 ","'3 ","'- ","'- ","'- ","'- ","'- ","'- ","'8 ",
"'Outengell ","'99,2 ","'78,5 ","'371 ","'8 ","'277 ","'35 ","'2 ","'7 ","'2 ","'- ","'- ","'9 ","'31 ",
"'böfen ","'90,8 ","'84,2 ","'125 ","'- ","'93 ","'12 ","'- ","'3 ","'- ","'- ","'4 ","'1 ","'12 ",
"'Sürbel ","'99,0 ","'79,2 ","'274 ","'6 ","'202 ","'10 ","'2 ","'2 ","'1 ","'1 ","'- ","'2 ","'48 ",
"'Sngertingen ","'97,5 ","'86,3 ","'347 ","'8 ","'284 ","'17 ","'1 ","'3 ","'2 ","'1 ","'1 ","'4 ","'26 ",
"'Rirdberg a. b. 3. ","'98,7 ","'81,1 ","'380 ","'13 ","'296 ","'9 ","'1 ","'11 ","'1 ","'1 ","'2 ","'- ","'46 ",
"'","'99,8 ","'79,6 ","'272 ","'3 ","'240 ","'7 ","'- ","'2 ","'1 ","'- ","'3 ","'2 ","'14 ",
"'Caupertshaufen ","'100,0 ","'73,2 ","'242 ","'3 ","'191 ","'12 ","'1 ","'2 ","'1 ","'1 ","'2 ","'- ","'29 ",
"'Wajelheim ","'98,4 ","'89,6 ","'497 ","'11 ","'454 ","'9 ","'1 ","'4 ","'2 ","'1 ","'3 ","'1 ","'11 ",
"'Dettenberg ","'95,6 ","'73,7 ","'125 ","'1 ","'79 ","'10 ","'- ","'- ","'1 ","'- ","'- ","'- ","'34 ",
"'Slittelbiberad) ","'97,7 ","'56,7 ","'256 ","'4 ","'198 ","'12 ","'2 ","'3 ","'1 ","'2 ","'- ","'1 ","'33 ",
"'Sulittelbud) ","'90,8 ","'84,1 ","'321 ","'9 ","'228 ","'31 ","'4 ","'2 ","'- ","'- ","'2 ","'- ","'45 ",
"'Suttensweiler ","'99,3 ","'70,3 ","'115 ","'4 ","'84 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'- ","'23 ",
"'Oberborf ","'98,2 ","'69,4 ","'177 ","'7 ","'142 ","'12 ","'1 ","'2 ","'1 ","'3 ","'2 ","'- ","'7 ",
"'Oberfulmetingen ","'99,7 ","'83,0 ","'354 ","'4 ","'277 ","'45 ","'1 ","'2 ","'1 ","'- ","'- ","'- ","'24 ",
"'Odjfenhaufen ","'93,5 ","'88,4 ","'1 430 ","'33 ","'839 ","'40 ","'7 ","'22 ","'19 ","'3 ","'7 ","'3 ","'457 ",
"'Reinitetten ","'98,2 ","'67,1 ","'613 ","'20 ","'457 ","'35 ","'5 ","'6 ","'1 ","'1 ","'1 ","'1 ","'86 ",
"'Reute ","'98,1 ","'79,0 ","'247 ","'2 ","'216 ","'10 ","'- ","'- ","'- ","'1 ","'- ","'- ","'18 ",
