"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3 Inteil Der tath. 9B= völtg. ","'be* teili= guing in % ","'gebene gültige Gtim- men ","'Gos gials Demo: tratie ","'8ens trum ","'Baut ern- it. Beins gärt= ner- Bund ","'Deuts ide Des mos trat. Bartei ","'Rom: mu- nift. Dartei ","'D.'na- tionale Bolte- partet ","'Deut- idje Bolts part. u. Bolfs: foni Bergg. ","'Chrl. Bolts bienft ","'Bolfs= redit- partet ","'Ratto: nal Toz. Deutidje Mrb.s Partet ",
"'Baidjingen ","'1,9 ","'66,5 ","'500 ","'82 ","'1 ","'238 ","'4 ","'10 ","'7 ","'6 ","'24 ","'- ","'128 ",
"'Reumeiler ","'- ","'71,1 ","'91 ","'- ","'- ","'58 ","'1 ","'2 ","'2 ","'- ","'2 ","'- ","'26 ",
"'Ghafbaujen ","'1,3 ","'53,8 ","'204 ","'18 ","'- ","'131 ","'5 ","'6 ","'1 ","'- ","'3 ","'- ","'40 ",
"'Gdöönaid) ","'0,4 ","'47,7 ","'806 ","'60 ","'2 ","'85 ","'15 ","'203 ","'24 ","'3 ","'87 ","'5 ","'322 ",
"'Ginbelfingen ","'4,8 ","'67,4 ","'967 ","'898 ","'61 ","'54 ","'398 ","'506 ","'127 ","'68 ","'256 ","'22 ","'577 ",
"'Beil i. Gdjönb. ","'0,9 ","'43,2 ","'619 ","'78 ","'4 ","'135 ","'17 ","'134 ","'18 ","'14 ","'54 ","'1 ","'164 ",
"'Gumme ","'4,5 ","'63,3 ","'14235 ","'090 ","'349 ","'089 ","'776 ","'2 152 ","'759 ","'211 ","'801 ","'92 ","'4916 ",
"'Bradenheim ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Brudenfeim ","'2,8 ","'70,1 ","'793 ","'106 ","'10 ","'168 ","'191 ","'19 ","'32 ","'19 ","'51 ","'7 ","'190 ",
"'Botenheim ","'0,1 ","'71,7 ","'342 ","'56 ","'- ","'169 ","'8 ","'3 ","'3 ","'- ","'7 ","'- ","'96 ",
"'Cleebronn ","'2,2 ","'62,1 ","'531 ","'85 ","'10 ","'224 ","'14 ","'15 ","'4 ","'4 ","'133 ","'2 ","'40 ",
"'Oürrengimmern ","'0,2 ","'80,2 ","'316 ","'4 ","'- ","'221 ","'11 ","'- ","'3 ","'1 ","'- ","'3 ","'73 ",
"'Gibensbad) ","'0,3 ","'48,0 ","'97 ","'9 ","'- ","'34 ","'1 ","'1 ","'- ","'3 ","'16 ","'- ","'33 ",
"'Frauengimmern ","'0,5 ","'67,3 ","'183 ","'29 ","'1 ","'121 ","'6 ","'4 ","'1 ","'9 ","'5 ","'- ","'7 ",
