"'","'","'","'","'","'","'93011 ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Broa. Inteil ber tath. Be- böltg. ","'bes teili- gung in % ","'gebene gülfrige Gtim- men ","'Go atal Demo tratie ","'8en- frum ","'Baus ern 11. 2Bein gärt- ner Bunb ","'Deut- (d)e De- mo trat. Partei ","'Stom mus nift. Bartei ","'9.'na- tionale 9olfor partet ","'Deut fde Bolter part.u. fonf. Bergg. ","'Chrl. Bolte bienit ","'93ollo redit- partei ","'mal for Deutidy Dattel ",
"'Gonbernad) ","'0,7 ","'40,9 ","'36 ","'2 ","'1 ","'15 ","'1 ","'- ","'3 ","'- ","'- ","'- 1 ","'14 18 ",
"'Untermardital ","'99,7 ","'78,2 ","'794 ","'10 ","'745 ","'11 ","'1 ","'5 ","'3 ","'- ","'- ","'","'28 ",
"'Unterftation ","'99,6 ","'78,9 ","'227 ","'- ","'171 ","'19 ","'4 ","'- ","'4 ","'1 ","'- ","'- - ","'35 ",
"'SBeiler(teuflingen ","'0,5 ","'65,4 ","'86 ","'1 ","'- ","'37 ","'- ","'- ","'13 ","'- ","'- ","'","'",
"'Gumme ","'86,6 ","'77,3 ","'13596 ","'522 ","'8 396 ","'1 182 ","'129 ","'277 ","'405 ","'28 ","'40 ","'62 ","'2555 ",
"'ellwangen ","'","'","'","'","'","'","'","'","'","'","'","'67 ","'389 ",
"'Ellwangen ","'80,2 ","'86,1 ","'3 179 ","'100 ","'2 268 ","'29 ","'101 ","'74 ","'75 ","'24 ","'52 3 ","'2 ","'5 ",
"'","'0,4 ","'78,1 ","'87 ","'- ","'- ","'76 ","'- ","'1 ","'- ","'- 1 ","'3 ","'2 ","'85 ",
"'Bühlerfann . ","'89,8 ","'68,1 ","'576 ","'10 ","'381 ","'78 ","'5 ","'11 ","'- ","'2 ","'5 ","'6 ","'55 ",
"'Bühlergell ","'83,1 ","'67,3 ","'446 ","'5 ","'304 ","'61 ","'4 ","'2 2 ","'2 ","'- ","'1 ","'- ","'4 ",
"'Daltingen ","'99,8 ","'89,2 ","'278 ","'","'268 ","'3 ","'- ","'","'- 1 ","'1 ","'- ","'4 ","'17 ",
"'Cllenberg ","'94,4 ","'71,5 ","'422 ","'9 ","'362 ","'26 ","'- ","'2 ","'","'","'- ","'- ","'3 ",
"'Geislingen ","'99,7 ","'66,5 ","'128 ","'6 ","'114 ","'4 ","'- ","'1 2 ","'- 4 ","'- 1 ","'4 ","'1 ","'42 ",
"'Sagftaell ","'94,0 ","'79,5 ","'593 ","'8 ","'491 ","'36 ","'4 ","'","'","'","'1 ","'- ","'124 ",
"'gaudbeim ","'96,0 ","'76,2 ","'512 ","'11 ","'360 ","'5 ","'4 ","'5 ","'2 ","'- ","'- ","'- ","'10 ",
"'gippad) ","'98,9 ","'73,3 ","'192 ","'- ","'179 ","'2 ","'- ","'- ","'1 ","'- 1 ","'4 ","'1 ","'16 ",
"'Reuler ","'95,4 ","'84,0 ","'698 ","'9 ","'545 ","'105 ","'1 ","'14 ","'2 ","'","'- ","'- ","'3 ",
"'Rorbhaufen ","'100,0 ","'93,7 ","'163 ","'- ","'159 ","'- ","'- ","'1 ","'- ","'- ","'","'- ","'69 ",
"'%fablheim ","'99,2 ","'71,3 ","'447 ","'4 ","'354 ","'15 ","'- ","'5 ","'- ","'- 2 ","'- 15 ","'1 ","'8 ",
"'Rinbelbad) ","'90,7 ","'83,9 ","'685 ","'9 ","'594 ","'22 ","'4 ","'20 ","'10 ","'","'","'- ","'74 ",
"'Röhlingen ","'90,0 ","'69,9 ","'691 ","'3 ","'517 ","'91 ","'1 ","'2 ","'2 ","'1 ","'- 2 ","'1 ","'136 ",
"'Rofenberg ","'76,0 ","'87,7 ","'874 ","'19 ","'603 ","'97 ","'2 ","'6 ","'8 ","'- ","'- ","'- ","'46 ",
"'Gdreabeim ","'97,3 ","'80,0 ","'661 ","'19 ","'566 ","'7 ","'4 ","'19 ","'- ","'- ","'- ","'2 ","'10 ",
"'Gdwwbsberg ","'99,2 ","'86,1 ","'424 ","'2 ","'380 ","'11 ","'2 ","'16 ","'1 ","'- ","'","'1 ","'183 ",
"'Gtöbtlen ","'68,3 ","'84,6 ","'744 ","'7 ","'432 ","'118 ","'1 ","'2 ","'- ","'- ","'- ","'1 ","'44 ",
"'Sannhaufen ","'99,5 ","'88,4 ","'578 ","'2 ","'494 ","'16 ","'2 ","'18 ","'- ","'1 ","'- ","'- ","'34 ",
"'","'99,0 ","'73,0 ","'403 ","'3 ","'345 ","'14 ","'- ","'5 ","'1 ","'1 ","'- ","'- ","'3 ",
"'Unterwilflingen ","'99,7 ","'89,5 ","'168 ","'- ","'155 ","'8 ","'- ","'1 ","'1 ","'- ","'- 2 ","'1 ","'34 ",
"'","'4,7 ","'81,9 ","'127 ","'- ","'4 ","'85 ","'- ","'- ","'1 ","'- ","'- ","'5 ","'81 ",
"'Befthaufen ","'99,3 ","'59,3 ","'495 ","'12 ","'365 ","'27 ","'- ","'3 ","'2 ","'- ","'","'1 ","'100 ",
"'Bört ","'63,9 ","'88,3 ","'491 ","'5 ","'301 ","'64 ","'- ","'11 ","'4 ","'- ","'5 ","'- ","'27 ",
"'Sipplingen ","'99,9 ","'92,3 ","'368 ","'3 ","'294 ","'41 ","'- ","'3 ","'- ","'- ","'- ","'- ","'52 ",
"'Söbingen ","'100,0 ","'72,8 ","'301 ","'3 ","'224 ","'21 ","'1 ","'- ","'- ","'- ","'- ","'","'654 ",
"'Gumme ","'88,4 ","'79,8 ","'14731 ","'249 ","'11059 ","'1 062 ","'136 ","'226 ","'117 ","'35 ","'97 ","'96 ","'1 ",
"'Dr. EBlingen ","'","'","'","'","'","'","'","'","'","'","'","'","'6774 ",
"'eßlingen ","'13,1 ","'75,0 ","'22 586 ","'5 663 ","'1 255 ","'954 ","'926 ","'018 ","'1011 ","'870 ","'950 8 ","'165 - ","'60 ",
"'","'- ","'55,8 ","'139 ","'7 ","'- ","'47 ","'1 ","'12 ","'4 8 ","'4 ","'35 ","'4 ","'141 ",
"'","'3,6 ","'76,0 ","'678 ","'249 ","'19 ","'61 ","'83 ","'74 ","'","'3 ","'99 ","'- ","'105 ",
"'Bertheim ","'2,0 ","'70,4 ","'872 ","'288 ","'6 ","'7 ","'20 ","'332 ","'12 2 ","'7 ","'40 ","'2 ","'220 ",
"'Deiaisau ","'1,9 ","'71,4 ","'809 ","'233 ","'- ","'71 ","'11 ","'223 ","'","'10 ","'99 ","'6 ","'467 ",
"'Dentenborf ","'0,9 ","'76,1 ","'1 158 ","'148 ","'3 ","'28 ","'14 ","'347 ","'36 ","'","'113 ","'3 ","'365 ",
"'Röngen ","'0,3 ","'70,9 ","'1 301 ","'193 ","'1 ","'285 ","'11 ","'296 ","'29 ","'5 ","'121 ","'6 ","'206 ",
"'Rellingen ","'1,6 ","'66,5 ","'985 ","'265 ","'6 ","'82 ","'15 ","'231 ","'45 ","'8 ","'6 ","'6 ","'104 ",
"'Reubaufen a. D. 8 ","'91,6 ","'56,5 ","'974 ","'167 ","'517 ","'4 ","'15 ","'148 ","'5 ","'2 ","'","'- ","'36 ",
"'Bfaubaufen ","'96,2 ","'72,5 ","'498 ","'47 ","'379 ","'17 ","'2 ","'12 ","'2 ","'1 ","'2 ","'29 ","'819 ",
"'Slodingen ","'9,0 ","'70,0 ","'2 118 ","'366 ","'105 ","'107 ","'79 ","'179 ","'77 ","'39 ","'318 ","'","'64 ",
