"'","'","'","'","'","'","'93n ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3. Inteil ber Tath. Be- bölfg. ","'TBabls be- teili- gung in % ","'libge= gebene gültige Gtim- men ","'Go: atal Demos tratie ","'Ben= trum ","'Baus ern- 11. gärts ners Bund ","'Deut ide Des mor trat. Partei ","'Rom mit nift. Partei ","'D''na: tionale Bolfs partei ","'Deut- (d)e Boltes part.u Bolfe: tonj. Bergg. ","'Chrl. Bolts bienft ","'9olfg- red)t partei ","'Ration nals 103. Deutidje Wrb.s Partet ",
"'3ell ","'2,4 ","'67,7 ","'618 ","'187 ","'4 ","'27 ","'20 ","'158 ","'25 ","'2 ","'21 ","'1 ","'173 ",
"'Gumme ","'15,7 ","'72,9 ","'35 541 ","'8 322 ","'605 ","'1 985 ","'1376 ","'6 492 ","'1 309 ","'968 ","'1867 ","'240 ","'10377 ",
"'Greubenftabt ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Freubenftabt ","'9,3 ","'71,6 ","'5 066 ","'1 082 ","'305 ","'25 ","'217 ","'555 ","'248 ","'376 ","'363 ","'80 ","'1 815 ",
"'Wad) ","'0,2 ","'56,5 ","'211 ","'18 ","'1 ","'24 ","'8 ","'33 ","'1 ","'5 ","'23 ","'- ","'98 ",
"'Baiersbronn ","'1,2 ","'61,7 ","'691 ","'812 ","'21 ","'19 ","'254 ","'260 ","'57 ","'36 ","'376 ","'20 ","'836 ",
"'BejenfeId ","'1,6 ","'66,2 ","'242 ","'11 ","'- ","'14 ","'15 ","'3 ","'9 ","'2 ","'35 ","'5 ","'148 ",
"'Böffingen ","'1,9 ","'61,0 ","'100 ","'3 ","'- ","'58 ","'1 ","'- ","'- ","'5 ","'2 ","'- ","'31 ",
"'Tresbad) ","'3,8 ","'59,2 ","'184 ","'6 ","'2 ","'52 ","'7 ","'5 ","'3 ","'- ","'21 ","'1 ","'87 ",
"'Dietersweiler ","'0,4 ","'68,4 ","'444 ","'44 ","'- ","'67 ","'7 ","'80 ","'7 ","'4 ","'30 ","'7 ","'198 ",
"'Dornftetten ","'2,9 ","'65,2 ","'587 ","'33 ","'9 ","'36 ","'32 ","'18 ","'23 ","'9 ","'31 ","'14 ","'382 ",
"'Durrweiler ","'- ","'65,0 ","'127 ","'2 ","'- ","'93 ","'1 ","'7 ","'1 ","'- ","'9 ","'- ","'14 ",
"'Ebelweiler ","'0,5 ","'78,6 ","'98 ","'6 ","'- ","'77 ","'- ","'1 ","'- ","'1 ","'5 ","'- ","'8 ",
"'Eragrube ","'- ","'70,7 ","'65 ","'16 ","'- ","'- ","'2 ","'- ","'1 ","'1 ","'10 ","'1 ","'34 ",
"'Glatten ","'0,4 ","'59,0 ","'381 ","'29 ","'- ","'32 ","'4 ","'23 ","'9 ","'3 ","'17 ","'- ","'264 ",
"'Göttelfingen ","'0,2 ","'53,6 ","'193 ","'1 ","'- ","'41 ","'3 ","'1 ","'3 ","'5 ","'65 ","'1 ","'73 ",
"'Grömbad) ","'0,6 ","'57,6 ","'167 ","'7 ","'- ","'55 ","'- ","'5 ","'5 ","'1 ","'5 ","'1 ","'88 ",
"'Grüntal ","'3,3 ","'48,4 ","'149 ","'12 ","'1 ","'45 ","'1 ","'7 ","'3 ","'2 ","'3 ","'1 ","'74 ",
"'Sallwangen ","'0,2 ","'57,7 ","'213 ","'15 ","'- ","'42 ","'6 ","'9 ","'3 ","'1 ","'3 ","'3 ","'131 ",
"'Sergogsweiler ","'0,5 ","'70,4 ","'270 ","'19 ","'- ","'64 ","'13 ","'- ","'5 ","'11 ","'73 ","'1 ","'84 ",
"'Sefelbad) ","'9,0 ","'67,3 ","'66 ","'5 ","'3 ","'- ","'3 ","'2 ","'1 ","'","'24 ","'5 ","'23 ",
"'bodjorf ","'- ","'64,2 ","'120 ","'- ","'- ","'42 ","'- ","'2 ","'- ","'2 ","'22 ","'1 ","'51 ",
"'","'1,6 ","'59,8 ","'101 ","'3 ","'- ","'59 ","'- ","'2 ","'- ","'2 ","'- ","'- ","'35 ",
"'","'0,2 ","'46,2 ","'171 ","'67 ","'- ","'1 ","'10 ","'30 ","'6 ","'8 ","'11 ","'- ","'38 ",
"'SgeIsberg ","'1,5 ","'52,2 ","'84 ","'1 ","'- ","'18 ","'1 ","'- ","'2 ","'2 ","'11 ","'- ","'49 ",
"'","'2,1 ","'60,7 ","'399 ","'102 ","'8 ","'4 ","'13 ","'10 ","'12 ","'6 ","'105 ","'3 ","'136 ",
"'Combad) ","'0,2 ","'55,8 ","'155 ","'3 ","'- ","'48 ","'3 ","'4 ","'3 ","'- ","'2 ","'2 ","'90 ",
"'CoBburg ","'0,8 ","'56,9 ","'351 ","'41 ","'1 ","'17 ","'14 ","'95 ","'16 ","'6 ","'2 ","'3 ","'156 ",
"'Reumed ","'3,9 ","'67,1 ","'112 ","'7 ","'1 ","'43 ","'1 ","'3 ","'2 ","'3 ","'21 ","'- ","'31 ",
"'Oberiflingen ","'0,3 ","'60,4 ","'157 ","'4 ","'- ","'72 ","'2 ","'4 ","'- ","'7 ","'2 ","'- ","'66 ",
"'Obermusbad) ","'- ","'65,1 ","'56 ","'1 ","'- ","'29 ","'- ","'- ","'1 ","'","'2 ","'- ","'23 ",
"'Bfalagrafenweiler ","'1,1 ","'56,0 ","'550 ","'88 ","'1 ","'84 ","'59 ","'14 ","'13 ","'9 ","'44 ","'6 ","'232 ",
"'Reinergau ","'1,9 ","'62,9 ","'176 ","'37 ","'2 ","'65 ","'5 ","'1 ","'3 ","'1 ","'19 ","'3 ","'40 ",
"'Robt ","'1,7 ","'71,1 ","'187 ","'29 ","'- ","'16 ","'5 ","'18 ","'4 ","'2 ","'28 ","'4 ","'81 ",
"'Röt ","'0,6 ","'58,6 ","'206 ","'41 ","'- ","'3 ","'11 ","'12 ","'8 ","'6 ","'84 ","'2 ","'39 ",
"'Gdjömberg ","'0,6 ","'58,9 ","'125 ","'29 ","'2 ","'10 ","'- ","'10 ","'2 ","'- ","'4 ","'- ","'68 ",
"'Gdjopflod) ","'0,3 ","'56,1 ","'229 ","'- ","'1 ","'72 ","'3 ","'- ","'2 ","'1 ","'2 ","'- ","'148 ",
"'Gdwargenberg ","'12,7 ","'70,2 ","'261 ","'50 ","'9 ","'6 ","'13 ","'26 ","'21 ","'12 ","'10 ","'- ","'114 ",
"'Tumlingen ","'1,1 ","'42,1 ","'106 ","'- ","'- ","'53 ","'1 ","'2 ","'1 ","'1 ","'7 ","'- ","'41 ",
"'Unteriflingen ","'0,3 ","'83,7 ","'164 ","'1 ","'- ","'86 ","'2 ","'- ","'- ","'4 ","'6 ","'- ","'65 ",
"'Untermusbad) ","'- ","'49,8 ","'135 ","'4 ","'- ","'24 ","'- ","'11 ","'3 ","'2 ","'13 ","'- ","'78 ",
"'Bittendorf ","'0,4 ","'53,9 ","'233 ","'3 ","'- ","'96 ","'- ","'9 ","'5 ","'10 ","'14 ","'1 ","'95 ",
"'BittIensweiler ","'0,8 ","'54,8 ","'292 ","'115 ","'- ","'9 ","'12 ","'64 ","'4 ","'4 ","'13 ","'2 ","'69 ",
"'Börnersberg ","'- ","'71,2 ","'89 ","'1 ","'- ","'68 ","'- ","'4 ","'- ","'- ","'1 ","'2 ","'13 ",
"'Gumme ","'3,5 ","'63,7 ","'15713 ","'2748 ","'367 ","'1 669 ","'729 ","'1 330 ","'487 ","'550 ","'1518 ","'169 ","'6 146 ",
"'Gailborf ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Gailborf ","'5,6 ","'72,2 ","'849 ","'83 ","'32 ","'29 ","'50 ","'32 ","'77 ","'21 ","'18 ","'50 ","'457 ",
"'Witersberg ","'0,1 ","'46,5 ","'240 ","'5 ","'1 ","'101 ","'7 ","'4 ","'6 ","'1 ","'10 ","'1 ","'104 ",
"'Ejdjad) ","'11,6 ","'52,0 ","'318 ","'5 ","'44 ","'178 ","'3 ","'8 ","'9 ","'- ","'4 ","'2 ","'65 ",
"'Eutenborf ","'10,0 ","'47,3 ","'225 ","'16 ","'26 ","'65 ","'5 ","'4 ","'12 ","'1 ","'2 ","'10 ","'84 ",
