"'","'","'","'","'","'","'93n ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Dro3 Winteil ber faib. Be völtg. ","'9Bahl- be- teili- gung in % ","'%bge- gebene gültige Gtim- men ","'Go- gial- bemo- tratie ","'Sen- frum ","'Bau- ern- II. 9Bein- gärt- ner- 9und ","'Deut- fde De- mo- frat. Bartei ","'Rom- mu- nift. Bartet ","'D.'na- tionale partei ","'Deut- Bolfo- part.u. Bolte- tonj. Bergg. ","'Ebrl. Bolfo- bienft ","'Bolfo- redit- partei ","'Slatio- nal- for. Deutidje Mrb.- Bartei ",
"'Gdilerbad) ","'0,4 ","'60,1 ","'494 ","'20 ","'1 ","'194 ","'3 ","'40 ","'17 ","'1 ","'100 ","'1 ","'117 ",
"'Gparwiefen ","'0,7 ","'59,9 ","'160 ","'23 ","'- ","'41 ","'7 ","'18 ","'- ","'4 ","'1 ","'- ","'66 ",
"'libingen ","'3,8 ","'63,1 ","'1 397 ","'320 ","'14 ","'123 ","'109 ","'419 ","'33 ","'21 ","'119 ","'6 ","'233 ",
"'Sangen ","'1,1 ","'66,9 ","'410 ","'85 ","'- ","'97 ","'8 ","'64 ","'9 ","'7 ","'36 ","'- ","'104 ",
"'Gumme ","'18,5 ","'68,6 ","'31 495 ","'6 776 ","'603 ","'3 067 ","'2437 ","'527 ","'748 ","'835 ","'2326 ","'273 ","'6173 ",
"'Sall ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Sall ","'13,9 ","'75,9 ","'5 333 ","'1 486 ","'508 ","'121 ","'181 ","'257 ","'488 ","'143 ","'433 ","'126 ","'1590 ",
"'Ammertsweiler ","'1,9 ","'52,3 ","'124 ","'3 ","'- ","'55 ","'- ","'- ","'7 ","'- ","'- ","'- ","'59 ",
"'Wrnsborf ","'","'65,6 ","'139 ","'- ","'- ","'95 ","'- ","'1 ","'- ","'- ","'- ","'- ","'43 ",
"'Biberefeld ","'2,5 ","'59,7 ","'391 ","'31 ","'6 ","'180 ","'1 ","'4 ","'23 ","'4 ","'3 ","'1 ","'138 ",
"'Subenorbis ","'0,2 ","'41,8 ","'150 ","'6 ","'- ","'96 ","'3 ","'7 ","'1 ","'1 ","'- ","'- ","'36 ",
"'@dartshaufen ","'26,3 ","'72,9 ","'246 ","'1 ","'49 ","'89 ","'2 ","'- ","'22 ","'- ","'- ","'- ","'83 ",
"'Eltershofen ","'1,0 ","'84,3 ","'156 ","'6 ","'- ","'117 ","'- ","'- ","'4 ","'2 ","'1 ","'- ","'26 ",
"'Enslingen ","'0,8 ","'59,7 ","'178 ","'7 ","'- ","'64 ","'1 ","'14 ","'9 ","'- ","'3 ","'- ","'80 ",
"'Gailenfirdjen ","'0,6 ","'70,1 ","'345 ","'14 ","'- ","'94 ","'1 ","'4 ","'10 ","'1 ","'26 ","'9 ","'186 ",
"'Geislingen a. R. ","'1,2 ","'66,6 ","'189 ","'4 ","'- ","'66 ","'1 ","'2 ","'3 ","'- ","'1 ","'1 ","'111 ",
"'Gelblingen ","'1,5 ","'83,4 ","'206 ","'88 ","'2 ","'31 ","'4 ","'3 ","'3 ","'2 ","'24 ","'2 ","'47 ",
"'. ","'0,6 ","'71,2 ","'356 ","'6 ","'2 ","'130 ","'- ","'1 ","'115 ","'1 ","'6 ","'","'95 ",
"'beffental . ","'33,2 ","'62,3 ","'317 ","'39 ","'113 ","'72 ","'5 ","'11 ","'1 ","'1 ","'9 ","'6 ","'60 ",
"'Sishofen . ","'3,0 ","'70,8 ","'402 ","'1 ","'2 ","'98 ","'12 ","'- ","'22 ","'4 ","'9 ","'5 ","'249 ",
"'","'3,9 ","'47,3 ","'334 ","'22 ","'10 ","'62 ","'6 ","'2 ","'12 ","'2 ","'14 ","'1 ","'203 ",
"'. . ","'0,9 ","'57,4 ","'414 ","'16 ","'- ","'156 ","'2 ","'12 ","'37 ","'3 ","'2 ","'13 ","'173 ",
"'Orlad) . . ","'2,1 ","'82,1 ","'142 ","'- ","'1 ","'49 ","'- ","'- ","'2 ","'- ","'3 ","'1 ","'86 ",
"'Rieben . ","'0,6 ","'56,3 ","'247 ","'30 ","'1 ","'72 ","'- ","'1 ","'2 ","'2 ","'2 ","'- ","'137 ",
"'Gul3borf ","'2,8 ","'62,5 ","'399 ","'17 ","'2 ","'177 ","'2 ","'3 ","'27 ","'5 ","'22 ","'3 ","'141 ",
"'Tüngental ","'6,0 ","'68,3 ","'313 ","'2 ","'17 ","'133 ","'- ","'- ","'6 ","'1 ","'7 ","'- ","'147 ",
"'übrigshaufen ","'0,4 ","'58,8 ","'191 ","'- ","'- ","'116 ","'- ","'3 ","'4 ","'1 ","'- ","'- ","'67 ",
"'Unterajpad) ","'0,3 ","'72,9 ","'309 ","'1 ","'- ","'135 ","'- ","'1 ","'11 ","'3 ","'1 ","'1 ","'156 ",
"'Untermüntheim ","'2,3 ","'54,2 ","'281 ","'11 ","'2 ","'62 ","'1 ","'4 ","'11 ","'5 ","'14 ","'5 ","'166 ",
"'Unterfontheim ","'1,5 ","'67,8 ","'232 ","'1 ","'1 ","'96 ","'- ","'2 ","'13 ","'- ","'- ","'4 ","'115 ",
"'Uttenhofen ","'3,5 ","'62,2 ","'312 ","'22 ","'6 ","'142 ","'- ","'- ","'8 ","'4 ","'3 ","'1 ","'126 ",
"'Bellberg ","'1,9 ","'60,3 ","'402 ","'17 ","'5 ","'201 ","'1 ","'19 ","'12 ","'1 ","'3 ","'3 ","'140 ",
"'Bedrieben ","'","'75,0 ","'78 ","'- ","'- ","'61 ","'- ","'- ","'2 ","'- ","'- ","'- ","'15 ",
"'SBeftheim ","'1,9 ","'44,5 ","'198 ","'27 ","'2 ","'42 ","'1 ","'28 ","'9 ","'- ","'9 ","'1 ","'79 ",
"'solpertshaufen ","'0,6 ","'76,5 ","'628 ","'20 ","'3 ","'284 ","'1 ","'- ","'30 ","'1 ","'6 ","'2 ","'281 ",
"'Gumme ","'7,3 ","'67,8 ","'13012 ","'1 878 ","'732 ","'3 096 ","'225 ","'379 ","'894 ","'187 ","'601 ","'185 ","'4 835 ",
"'beibenheim ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'geibenheim ","'14,5 ","'77,6 ","'11297 ","'3 608 ","'918 ","'159 ","'818 ","'1 411 ","'587 ","'180 ","'714 ","'131 ","'2 771 ",
"'Bergenweiler ","'0,5 ","'76,8 ","'96 ","'9 ","'1 ","'40 ","'5 ","'2 ","'","'1 ","'1 ","'- ","'37 ",
"'Bolheim ","'3,8 ","'74,7 ","'659 ","'223 ","'12 ","'147 ","'13 ","'36 ","'11 ","'3 ","'19 ","'- ","'195 ",
"'Brena ","'2,5 ","'61,8 ","'290 ","'54 ","'1 ","'104 ","'17 ","'1 ","'9 ","'1 ","'9 ","'1 ","'93 ",
"'Burgberg ","'96,2 ","'66,9 ","'518 ","'131 ","'239 ","'7 ","'4 ","'14 ","'7 ","'2 ","'- ","'2 ","'112 ",
"'Dettingen a. 211b. ","'0,9 ","'59,9 ","'433 ","'12 ","'1 ","'198 ","'6 ","'19 ","'14 ","'- ","'22 ","'- ","'161 ",
"'gleinheim ","'2,1 ","'46,3 ","'106 ","'2 ","'1 ","'76 ","'3 ","'1 ","'3 ","'- ","'1 ","'- ","'19 ",
"'Gerftetten ","'1,3 ","'56,3 ","'942 ","'135 ","'5 ","'257 ","'19 ","'38 ","'50 ","'11 ","'71 ","'22 ","'334 ",
"'Giengen a. b. Br. ","'7,3 ","'72,8 ","'1 752 ","'335 ","'79 ","'100 ","'177 ","'71 ","'134 ","'18 ","'54 ","'15 ","'769 ",
"'Guffenftabt ","'0,1 ","'51,7 ","'276 ","'11 ","'- ","'101 ","'10 ","'6 ","'13 ","'1 ","'25 ","'- ","'109 ",
"'baujen ob Contal ","'- ","'85,9 ","'91 ","'- ","'- ","'79 ","'2 ","'- ","'1 ","'- ","'1 ","'- ","'8 ",
"'Gelbenfingen ","'0,3 ","'49,0 ","'190 ","'4 ","'- ","'78 ","'2 ","'1 ","'4 ","'3 ","'14 ","'- ","'84 ",
"'gerbreditingen ","'4,4 ","'57,6 ","'889 ","'122 ","'13 ","'96 ","'27 ","'218 ","'26 ","'7 ","'23 ","'8 ","'349 ",
