"'","'","'","'","'","'","'","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt (Bemeinbe ","'Unteil ber tath. 9Be- pöltg. ","'be* teili- guing in % ","'abge- gebene gültige Gtim- men ","'Go- gial- bemo- tratie ","'3en- trum ","'Bau- ern- ui. SBein- gärt- ner- Bund ","'Deut- (d)e De- mo- trat. Bartei ","'Rom- mu- nift. Partei ","'D. 'na- tionale Bolfe- partei ","'Deut- Bolfs- part.u. Bolts- fonj. Bergg. ","'Chrl. Bolts- bienft ","'Bolts redit- partei ","'Ratio- nat- [03. Deutidye Mrb.- Partei ",
"'gübenhardt ","'95,7 ","'55,1 ","'295 ","'5 ","'117 ","'1 ","'- ","'45 ","'- ","'- ","'- ","'1 ","'126 ",
"'a. Redar ","'35,0 ","'79,0 ","'292 ","'4 ","'56 ","'14 ","'5 ","'8 ","'12 ","'1 ","'7 ","'- ","'185 ",
"'","'79,3 ","'88,5 ","'346 ","'25 ","'186 ","'6 ","'3 ","'13 ","'1 ","'5 ","'- ","'1 ","'106 ",
"'Roröftetten ","'93,8 ","'81,4 ","'515 ","'11 ","'194 ","'70 ","'8 ","'28 ","'3 ","'2 ","'- ","'3 ","'196 ",
"'Regingen ","'64,9 ","'82,8 ","'544 ","'157 ","'257 ","'80 ","'8 ","'7 ","'1 ","'- ","'1 ","'2 ","'31 ",
"'Robrborf ","'99,7 ","'82,7 ","'201 ","'6 ","'103 ","'76 ","'- ","'1 ","'- ","'- ","'- ","'- ","'15 ",
"'Galaftetten ","'97,9 ","'65,0 ","'381 ","'6 ","'183 ","'92 ","'- ","'25 ","'3 ","'- ","'- ","'1 ","'71 ",
"'Gulgau ","'88,9 ","'81,6 ","'115 ","'1 ","'44 ","'1 ","'- ","'23 ","'1 ","'- ","'- ","'- ","'45 ",
"'9ollmaringen ","'99,5 ","'73,3 ","'282 ","'- ","'76 ","'96 ","'3 ","'- ","'- ","'- ","'- ","'- ","'107 ",
"'Badjendorf ","'99,0 ","'63,9 ","'258 ","'4 ","'188 ","'31 ","'- ","'22 ","'1 ","'- ","'- ","'- ","'12 161 ",
"'Beitingen ","'97,5 ","'75,7 ","'385 ","'4 ","'114 ","'103 ","'1 ","'- ","'- ","'1 ","'- ","'1 ","'53 ",
"'Biefenftetten ","'98,5 ","'86,2 ","'241 ","'1 ","'156 ","'27 ","'- ","'- ","'2 ","'- ","'- ","'2 ","'",
