"'","'","'","'","'","'","'Bon ","'ben ","'gülitigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'anteil ber Tath. völtg. ","'9Babl= bes teili- gung in % ","'?lbge- gebene gültige Gtim- men ","'Goz gial- Demor fratie ","'Bens trum ","'Baus erne u. SBein gätts nere Bund ","'Deut fde Der mor trat. Dartei ","'mus nift. Bartei ","'D. ""na- tionale Bolfor partei ","'Deuts the Bolter part. u. Boll tonj. Bergg. ","'Œhrl. Bolfo- bienft ","'redits partei ","'Ratio nal- foa. Mrb.e Partei ",
"'Braunsbad) ","'14,6 ","'81,8 ","'349 ","'4 ","'82 ","'29 ","'3 ","'- ","'16 ","'- ","'7 ","'- ","'208 ",
"'Budjenbad) ","'1,7 ","'54,4 ","'228 ","'8 ","'- ","'80 ","'- ","'- ","'3 ","'1 ","'6 ","'- ","'130 ",
"'Griesbad) ","'- ","'71,0 ","'147 ","'4 ","'- ","'70 ","'- ","'14 ","'- ","'- ","'16 ","'2 ","'41 ",
"'Grifpenhofen ","'0,3 ","'78,3 ","'155 ","'- ","'- ","'85 ","'- ","'- ","'- ","'- ","'2 ","'3 ","'65 ",
"'Diebad) ","'100,0 ","'88,2 ","'105 ","'- ","'98 ","'6 ","'- ","'- ","'- ","'- ","'- ","'- ","'1 ",
"'Dörrengimmern ","'0,7 ","'74,9 ","'249 ","'- ","'2 ","'60 ","'4 ","'1 ","'1 ","'","'2 ","'2 ","'177 ",
"'Dõrgbad) ","'11,4 ","'62,8 ","'424 ","'43 ","'31 ","'66 ","'12 ","'9 ","'7 ","'4 ","'5 ","'9 ","'238 ",
"'Dötfingen ","'1,8 ","'64,5 ","'111 ","'- ","'4 ","'16 ","'- ","'9 ","'3 ","'- ","'3 ","'- ","'76 ",
"'Eberbad) ","'2,6 ","'62,7 ","'105 ","'1 ","'1 ","'41 ","'1 ","'- ","'14 ","'- ","'- ","'- ","'47 ",
"'Eberstal ","'99,7 ","'93,3 ","'180 ","'2 ","'175 ","'- ","'- ","'1 ","'- ","'- ","'- ","'- ","'2 ",
"'ettenhaufen ","'9,2 ","'51,5 ","'118 ","'7 ","'1 ","'43 ","'4 ","'- ","'3 ","'- ","'- ","'- ","'60 ",
"'Germuthaufen ","'0,4 ","'92,7 ","'179 ","'1 ","'- ","'28 ","'- ","'1 ","'3 ","'- ","'- ","'2 ","'144 ",
"'gobebad) ","'1,9 ","'70,8 ","'288 ","'2 ","'24 ","'119 ","'- ","'4 ","'2 ","'1 ","'4 ","'1 ","'131 ",
"'Gollenbad) ","'0,2 ","'64,9 ","'247 ","'1 ","'- ","'116 ","'- ","'- ","'2 ","'- ","'1 ","'- ","'127 ",
"'Sagitberg ","'98,0 ","'83,0 ","'244 ","'- ","'236 ","'1 ","'- ","'- ","'- ","'- ","'- ","'1 ","'6 ",
