"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3. Unteil ber fath. 9B= bölfg. ","'be= teili- gung in % ","'gebene gültige Gtim* men ","'Gor gial- bemo tratie ","'8ens trum ","'Bau- ern- 11. Bein- gärt- ners Bunb ","'Deut- (die De- mos frat. Bartel ","'Rome mu nift. Bartei ","'D.'na- tionale Bolter partei ","'Deut- Bolfer part.1 Bolte fonf. Bergg. ","'Chrl. Bolto bienft ","'redit- partei ","'Ratio male foa. Wrb. Dartei ",
"'Renningen ","'3,7 ","'54,8 ","'852 ","'66 ","'6 ","'206 ","'28 ","'176 ","'20 ","'5 ","'75 ","'3 ","'267 ",
"'Rutesheim ","'0,2 ","'61,2 ","'723 ","'63 ","'- ","'195 ","'8 ","'141 ","'14 ","'10 ","'79 ","'2 ","'211 ",
"'Gdjödingen ","'- ","'77,5 ","'268 ","'13 ","'- ","'143 ","'","'4 ","'3 ","'1 ","'6 ","'- ","'98 ",
"'Barmbronn ","'5,1 ","'53,2 ","'168 ","'10 ","'5 ","'84 ","'1 ","'16 ","'- ","'5 ","'11 ","'- ","'36 ",
"'Beil Der Gtabt ","'63,0 ","'53,7 ","'716 ","'42 ","'278 ","'62 ","'12 ","'91 ","'21 ","'8 ","'21 ","'10 ","'171 ",
"'Bimsheim ","'1,2 ","'38,8 ","'211 ","'17 ","'- ","'39 ","'- ","'19 ","'4 ","'- ","'34 ","'- ","'98 ",
"'Gumme ","'5,4 ","'65,8 ","'15726 ","'2 447 ","'399 ","'3 344 ","'276 ","'2 251 ","'637 ","'154 ","'1165 ","'117 ","'936 ",
"'geutfird) ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'geutfird) ","'72,8 ","'75,4 ","'2 279 ","'174 ","'1 256 ","'18 ","'52 ","'42 ","'77 ","'11 ","'166 ","'63 ","'420 ",
"'Widiftetten ","'98,6 ","'76,2 ","'484 ","'10 ","'287 ","'69 ","'3 ","'1 ","'8 ","'- ","'3 ","'4 ","'99 ",
"'Witrad) ","'97,0 ","'61,1 ","'671 ","'21 ","'365 ","'120 ","'6 ","'44 ","'8 ","'2 ","'2 ","'7 ","'96 ",
"'","'98,3 ","'79,1 ","'218 ","'4 ","'161 ","'13 ","'1 ","'2 ","'3 ","'- ","'1 ","'- ","'33 ",
"'Bertheim ","'99,0 ","'78,0 ","'707 ","'16 ","'619 ","'24 ","'1 ","'4 ","'4 ","'3 ","'1 ","'2 ","'33 ",
