"'","'","'","'","'","'","'Son ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bros. Unteil ber Tath. 9Be pölfg. ","'%Babl- be- teili- gung in % ","'gebene gültige Grim= men ","'Gos sial Demo: tratie ","'Bens frum ","'Bans em IL. gärt- ner= Bund ","'Deut [dje De- mos frat. Dartei ","'Som mus nijt. Bartei ","'D.'na- tionale Bolfe partei ","'Deut idje part.1 Bolfe: toni Bergg. ","'Ebrl. Bolfs bienft ","'Bolfs= redits partei ","'Ratio nal foa. Deuffde Mrb.: Bartei ",
"'Gerres ","'- ","'66,7 ","'116 ","'5 ","'- ","'94 ","'- ","'3 ","'- ","'- ","'1 ","'1 ","'12 ",
"'Gternenfels ","'1,3 ","'58,8 ","'362 ","'137 ","'3 ","'5 ","'14 ","'125 ","'10 ","'- ","'3 ","'- ","'65 ",
"'Biernsheim ","'2,4 ","'57,2 ","'347 ","'49 ","'2 ","'110 ","'2 ","'39 ","'7 ","'9 ","'1 ","'3 ","'125 ",
"'Surmberg ","'0,5 ","'61,1 ","'469 ","'72 ","'1 ","'81 ","'4 ","'158 ","'18 ","'1 ","'23 ","'4 ","'107 ",
"'Baifersweiber ","'0,5 ","'49,3 ","'198 ","'21 ","'2 ","'15 ","'3 ","'24 ","'8 ","'- ","'1 ","'- ","'124 ",
"'Gumme ","'2,5 ","'58,3 ","'10 673 ","'2 096 ","'130 ","'1 990 ","'370 ","'488 ","'465 ","'166 ","'347 ","'72 ","'3549 ",
"'Wergentheim ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Bab ","'60,9 ","'79,7 ","'3 088 ","'134 ","'1 501 ","'28 ","'249 ","'47 ","'271 ","'23 ","'149 ","'35 ","'651 ",
"'","'3,1 ","'61,6 ","'133 ","'1 ","'- ","'76 ","'- ","'- ","'2 ","'- ","'1 ","'1 ","'52 ",
"'","'7,9 ","'60,9 ","'186 ","'2 ","'18 ","'86 ","'3 ","'- ","'4 ","'4 ","'16 ","'- ","'53 ",
"'%pfelbad) ","'96,5 ","'75,5 ","'180 ","'1 ","'152 ","'4 ","'1 ","'1 ","'3 ","'- ","'- ","'- ","'18 ",
"'","'0,4 ","'68,1 ","'203 ","'7 ","'- ","'56 ","'21 ","'- ","'5 ","'- ","'15 ","'- ","'99 ",
"'Bernsfelben ","'100,0 ","'77,2 ","'173 ","'- ","'155 ","'11 ","'- ","'- ","'6 ","'- ","'- ","'- ","'1 ",
"'Blumweiler ","'- ","'93,3 ","'319 ","'2 ","'- ","'137 ","'- ","'2 ","'1 ","'- ","'1 ","'- ","'176 ",
"'Graintal ","'- ","'82,8 ","'77 ","'- ","'1 ","'40 ","'- ","'- ","'2 ","'","'","'","'34 ",
"'Üreglingen ","'1,8 ","'74,9 ","'642 ","'17 ","'9 ","'92 ","'54 ","'8 ","'51 ","'3 ","'20 ","'4 ","'384 ",
"'Deubad) ","'88,7 ","'80,7 ","'92 ","'2 ","'66 ","'11 ","'- ","'- ","'2 ","'- ","'- ","'- ","'11 ",
"'Ebelfingen ","'5,5 ","'62,1 ","'388 ","'31 ","'11 ","'83 ","'45 ","'2 ","'21 ","'5 ","'37 ","'1 ","'152 ",
"'Elpersheim ","'0,3 ","'78,4 ","'344 ","'- ","'- ","'84 ","'- ","'- ","'6 ","'- ","'29 ","'- ","'225 ",
"'Sinfterlobr ","'- ","'92,5 ","'235 ","'- ","'- ","'78 ","'- ","'- ","'- ","'- ","'- ","'- ","'157 ",
"'Frauental ","'2,7 ","'82,3 ","'121 ","'- ","'1 ","'60 ","'- ","'- ","'- ","'- ","'- ","'- ","'60 ",
"'Freubenbad) ","'0,4 ","'88,1 ","'289 ","'- ","'- ","'157 ","'- ","'- ","'1 ","'- ","'1 ","'- ","'130 ",
"'baagen ","'90,9 ","'69,0 ","'49 ","'- ","'41 ","'4 ","'- ","'- ","'1 ","'- ","'1 ","'- ","'2 ",
"'Sadjtel ","'67,4 ","'76,8 ","'157 ","'- ","'111 ","'19 ","'5 ","'- ","'1 ","'","'2 ","'- ","'19 ",
"'barthaujen ","'100,0 ","'75,2 ","'197 ","'2 ","'176 ","'8 ","'- ","'- ","'2 ","'1 ","'- ","'- ","'8 ",
"'Serbithaufen ","'9,5 ","'46,7 ","'64 ","'1 ","'3 ","'31 ","'- ","'1 ","'11 ","'- ","'1 ","'- ","'16 ",
"'berrengimmern ","'0,5 ","'46,5 ","'59 ","'- ","'- ","'33 ","'3 ","'- ","'1 ","'- ","'- ","'- ","'22 ",
"'Sonsbronn ","'26,3 ","'74,6 ","'126 ","'- ","'31 ","'75 ","'1 ","'- ","'5 ","'1 ","'3 ","'- ","'10 ",
"'Sgersheim ","'95,5 ","'75,2 ","'478 ","'22 ","'346 ","'40 ","'5 ","'2 ","'10 ","'1 ","'2 ","'- ","'50 ",
"'Caubenbad) ","'96,2 ","'81,5 ","'439 ","'10 ","'379 ","'19 ","'1 ","'2 ","'12 ","'- ","'- ","'- ","'16 ",
"'2öffelftel3en ","'100,0 ","'85,5 ","'191 ","'","'181 ","'7 ","'- ","'- ","'- ","'- ","'- ","'- ","'3 ",
"'","'96,0 ","'83,4 ","'581 ","'7 ","'448 ","'79 ","'8 ","'1 ","'2 ","'- ","'- ","'- ","'36 ",
"'Wünfter ","'0,3 ","'78,9 ","'197 ","'- ","'- ","'112 ","'- ","'- ","'10 ","'- ","'1 ","'- ","'74 ",
"'Raffau ","'3,1 ","'68,7 ","'245 ","'- ","'2 ","'120 ","'4 ","'- ","'10 ","'- ","'1 ","'- ","'108 ",
"'Reubronn ","'- ","'78,1 ","'175 ","'- ","'- ","'76 ","'1 ","'- ","'6 ","'- ","'- ","'1 ","'91 ",
"'Reunfirdjen ","'17,6 ","'65,5 ","'153 ","'4 ","'19 ","'52 ","'- ","'1 ","'20 ","'2 ","'9 ","'- ","'46 ",
"'Reujes ","'100,0 ","'91,1 ","'132 ","'1 ","'108 ","'18 ","'- ","'1 ","'3 ","'- ","'- ","'- ","'1 ",
"'Nieberrimbad) ","'- ","'77,0 ","'171 ","'- ","'- ","'150 ","'- ","'- ","'1 ","'- ","'- ","'- ","'20 ",
"'Oberrimbad) ","'","'85,2 ","'172 ","'","'","'140 ","'- ","'- ","'1 ","'1 ","'1 ","'- ","'29 ",
"'Bfigingen ","'1,7 ","'66,7 ","'94 ","'2 ","'- ","'42 ","'- ","'- ","'7 ","'- ","'- ","'- ","'43 ",
"'Quedbronn ","'","'66,4 ","'71 ","'- ","'- ","'31 ","'- ","'- ","'1 ","'- ","'- ","'- ","'39 ",
"'Reinsbronn ","'0,4 ","'78,2 ","'280 ","'3 ","'1 ","'130 ","'1 ","'1 ","'14 ","'- ","'3 ","'- ","'127 ",
"'Rengershaufen ","'99,3 ","'92,5 ","'248 ","'1 ","'216 ","'18 ","'- ","'- ","'- ","'- ","'- ","'- ","'13 ",
"'Rinderfeld ","'0,2 ","'74,5 ","'207 ","'- ","'- ","'133 ","'2 ","'- ","'15 ","'- ","'1 ","'- ","'54 ",
"'Rot. ","'83,4 ","'73,6 ","'176 ","'- ","'110 ","'53 ","'1 ","'- ","'1 ","'1 ","'- ","'- ","'10 ",
"'Rüffelhaujen ","'- ","'75,0 ","'81 ","'- ","'- ","'61 ","'- ","'- ","'2 ","'- ","'2 ","'- ","'16 ",
"'Gdjäftersheim ","'1,2 ","'79,3 ","'260 ","'6 ","'1 ","'71 ","'- ","'- ","'1 ","'- ","'2 ","'4 ","'175 ",
"'Gdymerbad) ","'- ","'81,6 ","'133 ","'- ","'- ","'62 ","'- ","'- ","'2 ","'2 ","'1 ","'- ","'66 ",
"'Gimmringen ","'100,0 ","'88,0 ","'71 ","'1 ","'68 ","'- ","'- ","'- ","'1 ","'- ","'- ","'- ","'1 ",
"'Gtuppad) ","'98,9 ","'83,9 ","'281 ","'1 ","'259 ","'13 ","'- ","'- ","'1 ","'1 ","'- ","'1 ","'5 ",
"'Borbadgimmern ","'1,7 ","'72,8 ","'257 ","'2 ","'- ","'137 ","'1 ","'- ","'1 ","'- ","'2 ","'1 ","'113 ",
"'","'42,7 ","'65,1 ","'329 ","'7 ","'135 ","'21 ","'5 ","'22 ","'6 ","'4 ","'24 ","'- ","'105 ",
