"'","'","'","'","'","'","'Bon ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bro3. ber fath. Be- völfg. ","'9Babl- be- teili- gung in % ","'gebene gültige Gtim- men ","'Go. stal- bemo tratie ","'8en- frum ","'Bau- ern- u. SBein- gürt- ner Bund ","'Deut. fde Demo- frat. Bart. ","'Rom- mu- nift. Bart. ","'D.'na- tionale Bolto partet ","'Deut- (d)e part. u. Bolfo tonf. Bergg. ","'Œhrl. Bolte bienft ","'Bolfo- redit- partei ","'Ratio nal- for Bartei ",
"'SBalbmannshofen ","'0,6 ","'92,8 ","'280 ","'- ","'- ","'194 ","'- ","'1 ","'5 ","'- ","'1 ","'- ","'79 ",
"'Beifersheim ","'8,1 ","'72,6 ","'827 ","'87 ","'23 ","'65 ","'23 ","'7 ","'32 ","'8 ","'23 ","'7 ","'552 ",
"'SBermutsbaufen ","'0,5 ","'80,8 ","'214 ","'1 ","', - ","'133 ","'- ","'- ","'15 ","'- ","'2 ","'- ","'63 ",
"'Gumme ","'39,3 ","'76,9 ","'13865 ","'355 ","'4.572 ","'3 152 ","'434 ","'99 ","'575 ","'57 ","'351 ","'55 ","'4215 ",
"'Wünfingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Wünfingen ","'9,6 ","'62,1 ","'889 ","'135 ","'73 ","'44 ","'128 ","'43 ","'75 ","'24 ","'88 ","'23 ","'237 ",
"'Widjelau ","'99,2 ","'92,2 ","'166 ","'- ","'117 ","'38 ","'2 ","'- ","'- ","'- ","'- ","'- ","'7 ",
"'Widiftetten ","'99,5 ","'79,8 ","'79 ","'- ","'64 ","'12 ","'- ","'- ","'- ","'- ","'- ","'- ","'2 ",
"'Inhaufen ","'69,6 ","'78,5 ","'82 ","'- ","'64 ","'5 ","'1 ","'2 ","'1 ","'- ","'2 ","'- ","'7 ",
"'%pfelftetten ","'0,7 ","'63,5 ","'122 ","'5 ","'- ","'55 ","'1 ","'- ","'1 ","'- ","'7 ","'- ","'47 ",
"'Huingen ","'11,8 ","'60,4 ","'411 ","'27 ","'6 ","'125 ","'9 ","'5 ","'12 ","'1 ","'35 ","'4 ","'173 ",
"'Band) ","'99,3 ","'81,4 ","'148 ","'5 ","'85 ","'33 ","'1 ","'- ","'- ","'- ","'- ","'- ","'23 ",
"'Bernlod) ","'1,2 ","'77,0 ","'244 ","'- ","'- ","'128 ","'4 ","'- ","'10 ","'1 ","'4 ","'- ","'97 ",
"'Bidjishaufen ","'88,7 ","'90,1 ","'73 ","'1 ","'61 ","'5 ","'1 ","'- ","'- ","'1 ","'1 ","'- ","'- ",
"'Böttingen ","'0,4 ","'53,5 ","'168 ","'16 ","'1 ","'28 ","'3 ","'1 ","'12 ","'1 ","'5 ","'5 ","'85 ",
"'Bremelau ","'98,9 ","'82,7 ","'182 ","'2 ","'158 ","'1 ","'- ","'- ","'- ","'- ","'- ","'- ","'20 ",
"'Buttenhaufen ","'8,4 ","'65,8 ","'236 ","'14 ","'50 ","'40 ","'35 ","'3 ","'- ","'- ","'4 ","'- ","'86 ",
"'Dapfen ","'8,0 ","'60,0 ","'250 ","'32 ","'6 ","'79 ","'5 ","'7 ","'41 ","'2 ","'6 ","'- ","'59 ",
"'Dottingen ","'0,9 ","'69,6 ","'238 ","'53 ","'- ","'67 ","'9 ","'4 ","'- ","'1 ","'13 ","'- ","'77 ",
"'Œglingen ","'99,4 ","'88,2 ","'178 ","'- ","'142 ","'22 ","'1 ","'- ","'4 ","'- ","'- ","'1 ","'4 ",
