"'","'","'Babl- ","'","'","'","'","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'$ro3 Inteil ber fath. völtg. ","'be- teili- gung in % ","'gebene gültige Gtim- men ","'Go= gials demo tratie ","'8en= frum ","'Bans erns 11. Bein gärt- ners Bund ","'Deut- idje De- mor frat. Bartei ","'Rom= mus nift. Dartei ","'D.'nas tionale Bolte- partet ","'Deuts idje part.ut Bolfs: tonj. Bergg. ","'Ebrl. bienft ","'Bolts- redits partei ","'Ratio nat- for Deufldye Mrb.s Dartei ",
"'Bilfingen ","'92,6 ","'70,2 ","'127 ","'1 ","'103 ","'18 ","'2 ","'- ","'- ","'- ","'- ","'- ","'1 ",
"'Swiefalten ","'69,8 ","'81,1 ","'393 ","'36 ","'224 ","'6 ","'6 ","'3 ","'16 ","'5 ","'1 ","'- ","'86 ",
"'Gumme ","'37,4 ","'68,2 ","'10166¹ ","'634 ","'417 ","'2 437 ","'316 ","'115 ","'293 ","'48 ","'287 ","'43 ","'2360 ",
"'Ragolo ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'RagoIo ","'6,0 ","'73,7 ","'1 954 ","'237 ","'70 ","'59 ","'52 ","'115 ","'236 ","'75 ","'32 ","'48 ","'1 030 ",
"'Gtabt ","'3,8 ","'63,0 ","'1 085 ","'169 ","'16 ","'8 ","'59 ","'130 ","'100 ","'35 ","'110 ","'57 ","'401 ",
"'MItenfteig, Dorf ","'0,6 ","'58,6 ","'78 ","'","'- ","'17 ","'1 ","'12 ","'1 ","'- ","'1 ","'- ","'46 ",
"'Beibingen ","'- ","'61,2 ","'109 ","'6 ","'- ","'49 ","'- ","'1 ","'1 ","'2 ","'- ","'2 ","'48 ",
"'Berned ","'4,3 ","'55,4 ","'141 ","'13 ","'6 ","'5 ","'3 ","'30 ","'9 ","'1 ","'15 ","'7 ","'52 ",
"'Beuren ","'- ","'67,8 ","'61 ","'3 ","'- ","'32 ","'2 ","'- ","'2 ","'","'5 ","'3 ","'14 ",
"'Böfingen ","'0,2 ","'54,3 ","'176 ","'- ","'- ","'54 ","'2 ","'1 ","'3 ","'3 ","'8 ","'5 ","'100 ",
"'Ebershardt . ","'- ","'51,2 ","'127 ","'9 ","'- ","'65 ","'- ","'3 ","'1 ","'1 ","'4 ","'- ","'44 ",
"'Ebhaufen und ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Böllbaufen ","'1,0 ","'67,5 ","'561 ","'116 ","'- ","'6 ","'6 ","'54 ","'48 ","'7 ","'78 ","'11 ","'235 ",
"'Effringen ","'0,3 ","'51,0 ","'252 ","'10 ","'- ","'77 ","'2 ","'23 ","'4 ","'3 ","'14 ","'7 ","'112 ",
"'","'0,3 ","'49,6 ","'242 ","'7 ","'- ","'117 ","'1 ","'5 ","'10 ","'13 ","'3 ","'5 ","'81 ",
"'emmingen ","'0,2 ","'60,5 ","'239 ","'11 ","'1 ","'36 ","'4 ","'3 ","'- ","'8 ","'9 ","'","'167 ",
"'inatal . ","'- ","'42,3 ","'129 ","'30 ","'- ","'- ","'2 ","'13 ","'8 ","'- ","'6 ","'3 ","'67 ",
"'ittmannsweiler ","'- ","'68,5 ","'113 ","'9 ","'- ","'36 ","'2 ","'- ","'- ","'- ","'- ","'2 ","'64 ",
"'fünfbronn . ","'1,0 ","'72,7 ","'133 ","'- ","'2 ","'28 ","'- ","'- ","'- ","'- ","'7 ","'- ","'96 ",
"'farrweiler ","'- ","'81,0 ","'81 ","'- ","'- ","'8 ","'- ","'- ","'5 ","'- ","'- ","'- ","'68 ",
"'. ","'- ","'93,3 ","'84 ","'- ","'- ","'39 ","'- ","'- ","'- ","'- ","'3 ","'- ","'42 ",
"'","'0,7 ","'72,1 ","'423 ","'11 ","'3 ","'213 ","'4 ","'- ","'23 ","'- ","'7 ","'- ","'162 ",
"'faiterbad) . ","'0,6 ","'49,8 ","'512 ","'24 ","'- ","'66 ","'4 ","'48 ","'37 ","'17 ","'30 ","'2 ","'284 ",
"'","'2,8 ","'70,7 ","'205 ","'11 ","'2 ","'40 ","'- ","'4 ","'1 ","'1 ","'1 ","'- ","'145 ",
"'","'- ","'62,8 ","'118 ","'7 ","'- ","'32 ","'- ","'1 ","'4 ","'1 ","'5 ","'- ","'68 ",
"'Cberfd/wandorf . ","'3,1 ","'45,4 ","'132 ","'9 ","'- ","'44 ","'1 ","'2 ","'4 ","'- ","'3 ","'4 ","'65 ",
"'Obertalheim ","'98,1 ","'75,7 ","'256 ","'1 ","'125 ","'74 ","'- ","'1 ","'- ","'- ","'- ","'- ","'55 ",
"'","'- ","'61,6 ","'109 ","'5 ","'- ","'50 ","'2 ","'2 ","'3 ","'- ","'- ","'- ","'47 ",
"'. ","'4,9 ","'56,9 ","'256 ","'38 ","'17 ","'53 ","'3 ","'34 ","'44 ","'10 ","'7 ","'4 ","'46 ",
"'%offelben ","'- ","'71,6 ","'249 ","'4 ","'- ","'77 ","'3 ","'17 ","'10 ","'2 ","'3 ","'- ","'133 ",
"'","'2,8 ","'60,7 ","'111 ","'3 ","'1 ","'67 ","'- ","'3 ","'- ","'3 ","'- ","'- ","'34 ",
"'Shönbronn ","'0,2 ","'62,9 ","'176 ","'8 ","'- ","'76 ","'- ","'5 ","'1 ","'- ","'2 ","'4 ","'80 ",
"'dimmersfeld ","'0,5 ","'83,1 ","'280 ","'8 ","'2 ","'17 ","'- ","'3 ","'5 ","'- ","'6 ","'3 ","'236 ",
"'Spielberg ","'- ","'64,3 ","'231 ","'10 ","'- ","'56 ","'3 ","'8 ","'2 ","'- ","'19 ","'1 ","'132 ",
"'Cala ","'- ","'70,6 ","'420 ","'2 ","'1 ","'272 ","'2 ","'2 ","'9 ","'3 ","'5 ","'- ","'124 ",
"'berberg ","'- ","'56,9 ","'141 ","'5 ","'- ","'47 ","'1 ","'9 ","'1 ","'1 ","'3 ","'3 ","'71 ",
"'","'74,1 ","'56,5 ","'39 ","'2 ","'15 ","'1 ","'- ","'8 ","'2 ","'1 ","'- ","'3 ","'7 ",
"'Intertalheim ","'98,6 ","'72,2 ","'319 ","'5 ","'183 ","'99 ","'- ","'6 ","'1 ","'- ","'2 ","'- ","'23 ",
"'albborf ","'0,1 ","'52,3 ","'268 ","'15 ","'- ","'70 ","'1 ","'19 ","'1 ","'1 ","'48 ","'- ","'113 ",
"'Sart ","'- ","'70,2 ","'167 ","'3 ","'- ","'14 ","'1 ","'4 ","'5 ","'1 ","'14 ","'3 ","'122 ",
"'Senden ","'- ","'63,8 ","'81 ","'1 ","'- ","'37 ","'- ","'1 ","'- ","'1 ","'12 ","'- ","'29 ",
"'Sibberg ","'3,7 ","'61,8 ","'537 ","'19 ","'1 ","'68 ","'9 ","'131 ","'35 ","'16 ","'50 ","'7 ","'201 ",
"'Gumme ","'7,0 ","'63,8 ","'10595 ","'811 ","'445 ","'2 109 ","'170 ","'698 ","'616 ","'206 ","'512 ","'184 ","'4844 ",
"'091. 9ledarjuIm ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'BedarjuIm ","'66,8 ","'86,5 ","'3 812 ","'976 ","'1663 ","'27 ","'160 ","'203 ","'35 ","'19 ","'123 ","'4 ","'602 ",
"'odjenau ","'99,8 ","'84,8 ","'189 ","'9 ","'161 ","'14 ","'- ","'1 ","'- ","'- ","'- ","'- ","'4 ",
"'sinswangen ","'98,1 ","'69,7 ","'306 ","'71 ","'162 ","'53 ","'3 ","'1 ","'- ","'- ","'1 ","'- ","'15 ",
"'sittelbronn ","'99,5 ","'66,7 ","'110 ","'1 ","'- ","'94 ","'- ","'- ","'- ","'- ","'- ","'- ","'15 ",
"'Sittingen ","'88,3 ","'71,1 ","'127 ","'3 ","'83 ","'5 ","'1 ","'4 ","'- ","'- ","'1 ","'2 ","'28 ",
