"'","'","'","'","'","'","'9on ","'ben gültigen ","'","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Unteil ber tath. 9Be bölfg. ","'9Babl= bes teili- gung in % ","'gebene güftige Gtim- men ","'Go= gial= bemos tratie ","'8en= trum ","'Bau= ern= u. Seins gärts ner= Bund ","'Deut- idje De= mo= trat. Bartei ","'Roms mu= nift. Partei ","'D''na: tionale Bolts partei ","'Deut- idie Bolter part.u. Bolter fonj. Bergg. ","'Chrl. bienft ","'Bolfs- redit- partei ","'Slatto nal= Wrb.s Dartei ",
"'Brettad) ","'0,4 ","'73,7 ","'459 ","'- ","'- ","'202 ","'- ","'- ","'4 ","'1 ","'23 ","'2 ","'227 ",
"'Bürg ","'32,4 ","'88,1 ","'118 ","'4 ","'8 ","'13 ","'1 ","'- ","'- ","'- ","'5 ","'3 ","'84 ",
"'©leverfulabad) ","'0,2 ","'70,5 ","'210 ","'24 ","'- ","'86 ","'1 ","'6 ","'2 ","'- ","'1 ","'- ","'90 ",
"'Dabenfeld ","'99,7 ","'82,5 ","'306 ","'9 ","'247 ","'12 ","'- ","'- ","'- ","'- ","'- ","'1 ","'37 ",
"'Degmarn ","'97,5 ","'72,5 ","'181 ","'9 ","'131 ","'8 ","'1 ","'- ","'- ","'- ","'- ","'- ","'32 ",
"'Duitenberg ","'92,7 ","'87,5 ","'258 ","'7 ","'180 ","'32 ","'- ","'3 ","'7 ","'- ","'- ","'- ","'29 ",
"'Œrlenbad) ","'98,3 ","'87,1 ","'719 ","'110 ","'546 ","'21 ","'2 ","'6 ","'1 ","'- ","'1 ","'2 ","'30 ",
"'Godien ","'1,4 ","'75,3 ","'371 ","'25 ","'- ","'100 ","'3 ","'1 ","'1 ","'2 ","'18 ","'4 ","'217 ",
"'Ounbelsheim ","'77,0 ","'77,8 ","'772 ","'54 ","'394 ","'41 ","'53 ","'51 ","'11 ","'4 ","'12 ","'2 ","'150 ",
"'Sagenbad) ","'99,7 ","'71,5 ","'192 ","'5 ","'179 ","'2 ","'1 ","'1 ","'2 ","'- ","'- ","'- ","'2 4 ",
"'","'98,7 ","'70,3 ","'241 ","'13 ","'215 ","'5 ","'1 ","'1 ","'1 ","'1 ","'- ","'- ","'",
"'Sagitfeld ","'78,3 ","'87,4 ","'907 ","'190 ","'469 ","'14 ","'21 ","'59 ","'19 ","'7 ","'34 ","'8 ","'86 ",
"'Sagithaufen ","'6,5 ","'63,5 ","'316 ","'38 ","'8 ","'163 ","'19 ","'1 ","'12 ","'- ","'3 ","'- ","'72 ",
"'Rodjenborf ","'6,0 ","'79,6 ","'1 253 ","'654 ","'30 ","'170 ","'70 ","'89 ","'10 ","'3 ","'64 ","'4 ","'159 ",
"'Roderfteinsfeld ","'1,1 ","'60,6 ","'285 ","'14 ","'1 ","'67 ","'- ","'3 ","'3 ","'1 ","'17 ","'- ","'179 ",
