"'","'","'","'","'","'","'","'Den ","'gülftigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Anteil ber fath. völtg. ","'be- teili- gung in % ","'gebene gültige Gtim- men ","'Go- sial- Demo- tratie ","'8en- trum ","'Bau- ern- u SBein- gärt- ner- Bund ","'Deut- (die De- mo- trat. Bartei ","'Som- mu- nift. Dartet ","'D.'na- tionale Bolte- partet ","'Deut- fde Bolts- part.ul. Bolfe- fonj. Bergg. ","'Chrl. Bolte+ bienft ","'redit- partei ","'Matto- nal- for. Wrb.- Bartei ",
"'Rötenbad) ","'7,4 ","'52,8 ","'244 ","'42 ","'10 ","'1 ","'10 ","'90 ","'3 ","'1 ","'32 ","'6 ","'49 ",
"'Rötenberg ","'- ","'- ","'","'- ","'- ","'- ","'- ","'- ","'- ","'- ","'- ","'- ","'- ",
"'Edjramberg ","'72,4 ","'70,4 ","'","'1 095 ","'2 105 ","'23 ","'533 ","'555 ","'44 ","'64 ","'179 ","'137 ","'1 049 ",
"'Geedorf ","'99,1 ","'80,2 ","'529 ","'8 ","'307 ","'50 ","'7 ","'6 ","'- ","'- ","'2 ","'4 ","'145 ",
"'Gulgau ","'47,5 ","'58,1 ","'265 ","'21 ","'83 ","'18 ","'34 ","'12 ","'6 ","'3 ","'11 ","'6 ","'71 ",
"'Gulgen ","'95,3 ","'79,8 ","'772 ","'24 ","'598 ","'33 ","'16 ","'27 ","'4 ","'- ","'11 ","'10 ","'49 ",
"'Bierundawangig höfe ","'- ","'81,7 ","'182 ","'- ","'- ","'166 ","'1 ","'2 ","'3 ","'- ","'9 ","'- ","'1 ",
"'Balbmöffingen ","'97,5 ","'64,8 ","'334 ","'2 ","'253 ","'42 ","'2 ","'3 ","'- ","'- ","'- ","'- ","'32 ",
"'BingeIn ","'96,1 ","'74,8 ","'460 ","'8 ","'316 ","'36 ","'24 ","'- ","'2 ","'1 ","'- ","'4 ","'69 ",
"'Gumme ","'67,2 ","'69,4 ","'17527 ","'2179 ","'6 617 ","'1 240 ","'1307 ","'1 224 ","'130 ","'136 ","'556 ","'306 ","'3 832 ",
"'ou. öbringen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Öbringen ","'5,6 ","'69,0 ","'2 064 ","'366 ","'55 ","'103 ","'262 ","'118 ","'200 ","'31 ","'115 ","'17 ","'797 ",
"'","'0,5 ","'42,5 ","'150 ","'10 ","'- ","'45 ","'3 ","'3 ","'4 ","'2 ","'7 ","'2 ","'74 ",
"'SaumerIenbad) ","'0,3 ","'65,9 ","'163 ","'5 ","'- ","'92 ","'2 ","'1 ","'2 ","'- ","'- ","'- ","'61 ",
"'Biafeld ","'0,2 ","'54,2 ","'191 ","'8 ","'- ","'107 ","'8 ","'1 ","'3 ","'- ","'20 ","'- ","'44 ",
"'Breafeld ","'0,4 ","'44,8 ","'146 ","'7 ","'3 ","'55 ","'8 ","'- ","'- ","'4 ","'17 ","'- ","'52 ",
"'Büttelbronn ","'- ","'72,6 ","'187 ","'2 ","'- ","'95 ","'- ","'- ","'17 ","'- ","'8 ","'- ","'65 ",
"'Cappel ","'1,9 ","'66,5 ","'125 ","'4 ","'1 ","'37 ","'2 ","'1 ","'32 ","'2 ","'3 ","'- ","'43 ",
"'Dimbad) ","'0,2 ","'56,0 ","'120 ","'10 ","'","'72 ","'- ","'1 ","'4 ","'2 ","'2 ","'- ","'29 ",
"'Odartsweiler ","'2,5 ","'61,3 ","'159 ","'4 ","'5 ","'37 ","'2 ","'- ","'27 ","'- ","'- ","'2 ","'82 ",
"'Œrnsbad) ","'2,4 ","'53,6 ","'184 ","'64 ","'2 ","'25 ","'4 ","'17 ","'5 ","'1 ","'3 ","'3 ","'60 ",
"'","'1,0 ","'62,8 ","'115 ","'3 ","'- ","'60 ","'- ","'1 ","'26 ","'- ","'- ","'2 ","'23 ",
"'","'- ","'60,0 ","'93 ","'- ","'- ","'29 ","'1 ","'- ","'13 ","'3 ","'3 ","'2 ","'42 ",
"'FeBbad) ","'3,1 ","'68,6 ","'258 ","'- ","'11 ","'124 ","'- ","'- ","'9 ","'- ","'8 ","'- ","'106 ",
"'Finfterrot ","'0,4 ","'56,4 ","'93 ","'4 ","'3 ","'42 ","'- ","'- ","'- ","'- ","'- ","'- ","'44 ",
"'Fordjtenberg ","'2,3 ","'74,3 ","'420 ","'24 ","'4 ","'50 ","'1 ","'10 ","'6 ","'1 ","'- ","'- ","'324 ",
"'Gaisbad) ","'0,6 ","'56,7 ","'249 ","'4 ","'- ","'84 ","'2 ","'2 ","'1 ","'- ","'7 ","'2 ","'147 ",
"'GebdeIsbad) ","'0,4 ","'66,0 ","'93 ","'2 ","'2 ","'60 ","'1 ","'1 ","'7 ","'- ","'- ","'- ","'20 ",
"'GeiBelhardt ","'1,7 ","'47,8 ","'228 ","'19 ","'1 ","'135 ","'1 ","'6 ","'14 ","'1 ","'3 ","'1 ","'47 ",
