"'","'","'","'","'","'","'Bon ","'ben ","'güftigen ","'Gtimmen ","'enffielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Brog. Unteil ber tath. 9B= pöltg. ","'be= teili- gung in % ","'20bge= gebene gülitige Gtim= men ","'Gos sial demo tratie ","'8ens trum ","'Bau ern: 11. SBein- gärts ners Bund ","'Deut idje Dez mos trat. Bartei ","'Rom: mu- nift. Partei ","'""na tionale Bolts partet ","'Deut (die Bolfe: part. u. Bolte- fonj. Bergg. ","'Chrl. bienft ","'Bolts redjt- partei ","'Ratio: nal- [03. Deutlaje Wrb.: Partei ",
"'Grisfird) ","'95,9 ","'77,0 ","'171 ","'3 ","'142 ","'2 ","'1 ","'6 ","'1 ","'- ","'2 ","'3 ","'11 ",
"'ettenfird) ","'97,3 ","'64,3 ","'512 ","'6 ","'358 ","'48 ","'2 ","'11 ","'1 ","'1 ","'2 ","'3 ","'80 ",
"'Flunau ","'97,2 ","'78,9 ","'519 ","'5 ","'354 ","'20 ","'3 ","'5 ","'2 ","'1 ","'1 ","'1 ","'127 ",
"'Stiebridyshafen ","'73,1 ","'67,5 ","'5 668 ","'835 ","'2 515 ","'27 ","'247 ","'457 ","'209 ","'53 ","'77 ","'190 ","'1 058 ",
"'bemigtofen ","'96,8 ","'79,8 ","'781 ","'42 ","'522 ","'43 ","'8 ","'3 ","'7 ","'1 ","'6 ","'28 ","'121 ",
"'birid)latt ","'93,1 ","'62,9 ","'200 ","'4 ","'145 ","'6 ","'3 ","'1 ","'4 ","'- ","'- ","'- ","'37 ",
"'Saimnau ","'98,0 ","'78,2 ","'255 ","'1 ","'185 ","'16 ","'1 ","'- ","'3 ","'1 ","'- ","'2 ","'46 ",
"'Sangenargen ","'83,4 ","'67,4 ","'882 ","'88 ","'412 ","'27 ","'16 ","'41 ","'29 ","'4 ","'8 ","'37 ","'220 ",
"'Sangnau ","'98,3 ","'85,5 ","'453 ","'3 ","'306 ","'5 ","'4 ","'2 ","'4 ","'- ","'- ","'2 ","'127 ",
"'giebenau ","'93,6 ","'75,3 ","'468 ","'2 ","'372 ","'43 ","'2 ","'1 ","'1 ","'- ","'- ","'- ","'47 ",
"'Bedenbeuren ","'90,4 ","'66,1 ","'977 ","'10 ","'634 ","'26 ","'2 ","'68 ","'31 ","'1 ","'1 ","'19 ","'185 ",
"'Reufird) ","'98,6 ","'77,9 ","'577 ","'3 ","'339 ","'27 ","'1 ","'3 ","'6 ","'4 ","'","'4 ","'190 ",
"'9lonnenbad) ","'85,7 ","'67,9 ","'392 ","'47 ","'196 ","'43 ","'4 ","'16 ","'8 ","'2 ","'- ","'10 ","'66 ",
"'OberDorf ","'96,7 ","'78,7 ","'484 ","'9 ","'326 ","'15 ","'7 ","'6 ","'2 ","'- ","'1 ","'4 ","'114 ",
"'Obereifenbad) ","'93,6 ","'72,5 ","'358 ","'1 ","'295 ","'22 ","'2 ","'- ","'2 ","'- ","'- ","'3 ","'33 ",
"'Oberteuringen ","'89,1 ","'68,7 ","'551 ","'5 ","'368 ","'56 ","'3 ","'5 ","'10 ","'1 ","'5 ","'6 ","'92 ",
"'","'82,0 ","'71,8 ","'990 ","'57 ","'511 ","'24 ","'16 ","'73 ","'12 ","'1 ","'7 ","'20 ","'269 ",
"'Gdjomburg ","'98,2 ","'81,2 ","'488 ","'9 ","'291 ","'36 ","'1 ","'4 ","'1 ","'4 ","'- ","'- ","'142 ",
"'Sannau ","'96,7 ","'69,7 ","'496 ","'3 ","'354 ","'17 ","'4 ","'2 ","'7 ","'- ","'- ","'3 ","'106 ",
"'Gumme ","'86,2 ","'71,0 ","'17278 ","'207 ","'9 993 ","'531 ","'366 ","'762 ","'420 ","'85 ","'114 ","'406 ","'3 394 ",
"'Zübingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Sübingen ","'19,5 ","'68,4 ","'854 ","'1 172 ","'1 218 ","'57 ","'661 ","'458 ","'1 143 ","'945 ","'570 ","'257 ","'3 332 ",
"'Mitenburg ","'- ","'60,1 ","'176 ","'26 ","'2 ","'70 ","'3 ","'13 ","'- ","'1 ","'38 ","'- ","'19 ",
"'Bebenhaujen ","'3,9 ","'73,4 ","'146 ","'9 ","'2 ","'15 ","'4 ","'","'10 ","'27 ","'12 ","'2 ","'64 ",
"'","'- ","'48,5 ","'198 ","'50 ","'- ","'31 ","'1 ","'74 ","'3 ","'4 ","'7 ","'- ","'12 ",
"'Derenbingen ","'7,9 ","'65,8 ","'836 ","'218 ","'49 ","'37 ","'66 ","'62 ","'51 ","'40 ","'80 ","'5 ","'219 ",
"'Dettenhaufen ","'0,2 ","'59,1 ","'471 ","'57 ","'3 ","'22 ","'77 ","'191 ","'3 ","'25 ","'20 ","'","'68 ",
"'Dörnad) ","'- ","'46,8 ","'66 ","'10 ","'- ","'41 ","'- ","'5 ","'- ","'1 ","'5 ","'1 ","'3 ",
"'Dußlingen ","'2,1 ","'63,4 ","'950 ","'218 ","'12 ","'53 ","'26 ","'201 ","'29 ","'10 ","'66 ","'2 ","'319 ",
"'Gniebel ","'0,6 ","'48,9 ","'156 ","'16 ","'- ","'72 ","'2 ","'16 ","'1 ","'- ","'18 ","'","'27 ",
"'Gönningen ","'1,4 ","'59,4 ","'698 ","'60 ","'1 ","'17 ","'86 ","'65 ","'24 ","'4 ","'129 ","'1 ","'278 ",
"'bagellod) ","'0,1 ","'64,4 ","'324 ","'155 ","'2 ","'4 ","'34 ","'10 ","'1 ","'23 ","'47 ","'1 ","'41 ",
"'","'- ","'56,0 ","'154 ","'13 ","'- ","'101 ","'2 ","'10 ","'1 ","'7 ","'2 ","'- ","'17 ",
"'Settenburg ","'- ","'56,5 ","'192 ","'57 ","'- ","'46 ","'2 ","'6 ","'1 ","'14 ","'8 ","'2 ","'48 ",
"'Smmenhaufen ","'- ","'45,5 ","'124 ","'21 ","'- ","'57 ","'2 ","'2 ","'1 ","'1 ","'9 ","'- ","'25 ",
"'Rildbberg ","'1,7 ","'51,7 ","'119 ","'26 ","'- ","'10 ","'6 ","'19 ","'7 ","'11 ","'18 ","'- ","'20 ",
"'Rirdentellinsfurt ","'6,3 ","'65,9 ","'970 ","'314 ","'9 ","'110 ","'21 ","'62 ","'62 ","'34 ","'73 ","'4 ","'223 ",
"'Rufterbingen ","'0,9 ","'55,0 ","'608 ","'142 ","'1 ","'139 ","'5 ","'35 ","'18 ","'14 ","'117 ","'2 ","'109 ",
"'Cuftnau ","'3,7 ","'71,7 ","'512 ","'522 ","'17 ","'44 ","'27 ","'83 ","'40 ","'398 ","'101 ","'17 ","'257 ",
"'Dähringen ","'0,1 ","'61,8 ","'279 ","'69 ","'- ","'73 ","'7 ","'6 ","'4 ","'4 ","'34 ","'","'73 ",
"'Rehren ","'1,0 ","'50,7 ","'437 ","'64 ","'- ","'15 ","'17 ","'195 ","'7 ","'12 ","'17 ","'1 ","'103 ",
"'Oferbingen ","'1,3 ","'44,8 ","'154 ","'41 ","'1 ","'65 ","'- ","'10 ","'2 ","'2 ","'8 ","'- ","'20 ",
"'Sfronborf ","'1,5 ","'69,3 ","'509 ","'208 ","'- ","'31 ","'8 ","'42 ","'- ","'64 ","'52 ","'- ","'77 ",
"'Slieabaujen ","'0,1 ","'46,8 ","'573 ","'143 ","'- ","'23 ","'27 ","'103 ","'11 ","'9 ","'121 ","'2 ","'102 ",
"'Rommelsbad) ","'0,1 ","'54,2 ","'383 ","'134 ","'- ","'61 ","'19 ","'21 ","'4 ","'4 ","'27 ","'2 ","'52 ",
"'Sübgarten ","'0,4 ","'50,6 ","'176 ","'22 ","'- ","'39 ","'1 ","'28 ","'- ","'12 ","'32 ","'- ","'32 ",
"'","'- ","'58,6 ","'239 ","'24 ","'- ","'103 ","'3 ","'6 ","'- ","'4 ","'23 ","'- ","'73 ",
"'Sidenhaufen ","'0,1 ","'58,7 ","'244 ","'39 ","'- ","'94 ","'5 ","'71 ","'2 ","'2 ","'13 ","'- ","'12 ",
"'Balòborf ","'0,4 ","'58,2 ","'431 ","'56 ","'- ","'152 ","'8 ","'27 ","'13 ","'10 ","'34 ","'1 ","'119 ",
"'Bantheim ","'0,2 ","'57,0 ","'260 ","'20 ","'- ","'143 ","'1 ","'8 ","'2 ","'4 ","'- ","'- ","'77 ",
"'Beilheim ","'0,7 ","'60,6 ","'215 ","'18 ","'2 ","'75 ","'1 ","'10 ","'9 ","'2 ","'41 ","'1 ","'53 ",
"'Gumme ","'9,2 ","'63,4 ","'21454¹ ","'3 924 ","'1 319 ","'1 800 ","'1122 ","'1 839 ","'1 449 ","'1 688 ","'1722 ","'301 ","'5 874 ",
