"'","'","'","'","'","'","'9on ","'ben ","'gültigen ","'Gtimmen ","'entfielen ","'auf ","'","'",
"'Oberamt Gemeinbe ","'Bros. Unteil ber tath. 98- völtg. ","'be- telli- gung in % ","'%bge- gebene gültige Gtim- men ","'Go- aial- bemo- tratie ","'8en- frum ","'Bau- ern- u. Wein- gätt- ner- Bund ","'Deut- fde De- mo- frat. Bartei ","'Rom- mu- nift. Bartei ","'""na- tionale Bolfs- partei ","'Deut- idie Bolts- part.u Bolte- tonj. Bergg. ","'Ebrl. Bolts. bient ","'Bolts redit- partei ","'Ratio- nal- fog. Deutidye Mrb.- Dartei ",
"'Sobenhaslad) ","'0,6 ","'51,2 ","'355 ","'10 ","'- ","'198 ","'16 ","'15 ","'1 ","'2 ","'11 ","'6 ","'96 ",
"'Sorrbeim ","'0,6 ","'46,4 ","'368 ","'23 ","'- ","'120 ","'6 ","'17 ","'9 ","'5 ","'17 ","'3 ","'168 ",
"'Sptingen ","'1,6 ","'39,5 ","'157 ","'8 ","'- ","'101 ","'1 ","'6 ","'2. ","'- ","'10 ","'2 ","'27 ",
"'Rleinglattbad) ","'3,1 ","'54,2 ","'206 ","'56 ","'- ","'34 ","'19 ","'12 ","'7 ","'9 ","'26 ","'3 ","'40 ",
"'Rleinjadjenbeim ","'0,2 ","'47,4 ","'348 ","'72 ","'1 ","'109 ","'4 ","'33 ","'5 ","'9 ","'15 ","'1 ","'99 ",
"'Wühlbaufen a. C. ","'0,4 ","'50,9 ","'262 ","'30 ","'2 ","'90 ","'2 ","'16 ","'7 ","'- ","'42 ","'3 ","'70 ",
"'Rubborf ","'0,7 ","'51,0 ","'310 ","'6 ","'2 ","'196 ","'11 ","'2 ","'1 ","'- ","'17 ","'6 ","'69 ",
"'Oberriegingen ","'1,6 ","'49,3 ","'336 ","'98 ","'- ","'115 ","'29 ","'48 ","'6 ","'4 ","'10 ","'- ","'26 ",
"'Riet ","'0,8 ","'61,0 ","'109 ","'6 ","'- ","'86 ","'1 ","'- ","'2 ","'- ","'1 ","'- ","'13 ",
"'RoBwag ","'- ","'62,1 ","'265 ","'2 ","'- ","'190 ","'- ","'4 ","'11 ","'- ","'13 ","'- ","'45 ",
"'Gersheim ","'0,5 ","'51,0 ","'416 ","'44 ","'- ","'203 ","'7 ","'28 ","'15 ","'4 ","'18 ","'- ","'97 ",
"'Untermberg ","'- ","'76,9 ","'210 ","'9 ","'- ","'61 ","'- ","'101 ","'3 ","'2 ","'8 ","'- ","'26 ",
"'Unterriegingen ","'1,3 ","'67,1 ","'341 ","'23 ","'1 ","'186 ","'3 ","'13 ","'2 ","'1 ","'3 ","'- ","'109 ",
"'Beiffad) ","'0,6 ","'53,1 ","'486 ","'51 ","'5 ","'189 ","'12 ","'30 ","'15 ","'5 ","'83 ","'8 ","'88 ",
"'Gumme ","'1,8 ","'58,1 ","'8322 ","'126 ","'68 ","'175 ","'323 ","'654 ","'267 ","'121 ","'514 ","'161 ","'1913 ",
"'D%I. SBaiblingen ","'","'","'","'","'","'","'","'","'","'","'","'","'",
"'Baiblingen ","'8,5 ","'66,7 ","'9900 ","'902 ","'136 ","'165 ","'220 ","'503 ","'400 ","'41 ","'221 ","'149 ","'1 243 ",
"'Baad) ","'- ","'70,4 ","'88 ","'5 ","'- ","'46 ","'2 ","'1 ","'1 ","'- ","'1 ","'- ","'31 ",
"'Beinftein ","'0,1 ","'78,1 ","'504 ","'98 ","'- ","'140 ","'3 ","'91 ","'8 ","'- ","'21 ","'3 ","'140 ",
"'Birfmannsweiler ","'0,4 ","'54,8 ","'194 ","'19 ","'3 ","'57 ","'3 ","'14 ","'10 ","'3 ","'8 ","'- ","'77 ",
"'Bittenfeld ","'0,2 ","'73,2 ","'532 ","'57 ","'1 ","'137 ","'2 ","'107 ","'10 ","'- ","'31 ","'4 ","'181 ",
"'BreBenader ","'- ","'56,8 ","'63 ","'5 ","'- ","'18 ","'2 ","'- ","'3 ","'- ","'- ","'- ","'35 ",
"'Breuningsweiler ","'0,7 ","'50,0 ","'89 ","'3 ","'- ","'13 ","'- ","'17 ","'1 ","'2 ","'1 ","'1 ","'49 ",
"'Buod) ","'1,3 ","'70,6 ","'149 ","'7 ","'- ","'88 ","'1 ","'3 ","'26 ","'- ","'- ","'1 ","'22 ",
"'Bürg ","'- ","'65,2 ","'101 ","'2 ","'- ","'47 ","'2 ","'1 ","'- ","'- ","'2 ","'3 ","'44 ",
"'Endersbad) ","'1,7 ","'68,4 ","'630 ","'44 ","'5 ","'224 ","'37 ","'27 ","'34 ","'4 ","'50 ","'11 ","'192 ",
"'Fellbad) ","'5,6 ","'74,7 ","'5 770 ","'975 ","'243 ","'674 ","'138 ","'731 ","'318 ","'41 ","'373 ","'226 ","'833 ",
"'Großheppad) ","'1,0 ","'62,8 ","'530 ","'53 ","'- ","'224 ","'20 ","'36 ","'24 ","'- ","'26 ","'4 ","'143 ",
"'Sanweiler ","'0,8 ","'49,4 ","'81 ","'1 ","'- ","'63 ","'- ","'1 ","'- ","'- ","'1 ","'- ","'14 ",
"'begnad) ","'0,6 ","'67,5 ","'313 ","'13 ","'- ","'101 ","'1 ","'48 ","'12 ","'- ","'5 ","'1 ","'132 ",
"'Sertmannsweiler ","'0,2 ","'46,7 ","'168 ","'5 ","'- ","'79 ","'2 ","'9 ","'2 ","'1 ","'7 ","'1 ","'62 ",
"'bod)berg ","'0,8 ","'64,3 ","'259 ","'99 ","'- ","'81 ","'2 ","'37 ","'3 ","'3 ","'15 ","'1 ","'18 ",
"'Sodjooff ","'0,5 ","'79,8 ","'197 ","'15 ","'- ","'99 ","'- ","'42 ","'2 ","'1 ","'3 ","'- ","'35 ",
"'böfen ","'0,6 ","'61,3 ","'145 ","'10 ","'- ","'66 ","'2 ","'20 ","'- ","'- ","'10 ","'1 ","'36 ",
"'Sobenader ","'- ","'79,3 ","'309 ","'21 ","'- ","'205 ","'3 ","'14 ","'3 ","'- ","'- ","'3 ","'60 ",
"'Rleinbeppad) ","'- ","'69,4 ","'172 ","'5 ","'- ","'114 ","'2 ","'2 ","'- ","'- ","'2 ","'6 ","'41 ",
"'Rorb ","'0,5 ","'68,0 ","'1054 ","'317 ","'3 ","'257 ","'12 ","'62 ","'15 ","'3 ","'17 ","'16 ","'350 ",
"'Qeutenbad) ","'0,2 ","'50,3 ","'269 ","'48 ","'- ","'114 ","'1 ","'24 ","'2 ","'1 ","'4 ","'7 ","'68 ",
"'Redarrems ","'0,4 ","'54,8 ","'287 ","'35 ","'1 ","'70 ","'7 ","'48 ","'6 ","'- ","'2 ","'3 ","'112 ",
"'Rellmersbad) ","'0,5 ","'52,5 ","'136 ","'9 ","'- ","'54 ","'1 ","'3 ","'1 ","'- ","'3 ","'- ","'65 ",
"'Reuftabt ","'2,4 ","'71,7 ","'544 ","'98 ","'- ","'104 ","'7 ","'41 ","'6 ","'- ","'14 ","'16 ","'257 ",
"'Öbernhardt. ","'- ","'66,3 ","'61 ","'- ","'- ","'26 ","'","'- ","'- ","'- ","'- ","'- ","'35 ",
"'Öffingen ","'95,2 ","'80,0 ","'647 ","'39 ","'440 ","'60 ","'1 ","'36 ","'3 ","'3 ","'6 ","'6 ","'53 ",
"'Oppelsbolm ","'0,2 ","'62,6 ","'176 ","'6 ","'- ","'55 ","'9 ","'1 ","'1 ","'- ","'6 ","'1 ","'97 ",
"'Ö(djelbronn ","'- ","'65,7 ","'90 ","'2 ","'- ","'73 ","'- ","'- ","'6 ","'- ","'- ","'- ","'9 ",
"'Reidjenbad) ","'- ","'58,8 ","'107 ","'3 ","'1 ","'56 ","'2 ","'3 ","'- ","'- ","'2 ","'- ","'40 ",
"'Rettersburg ","'0,3 ","'50,3 ","'94 ","'- ","'- ","'45 ","'1 ","'4 ","'2 ","'- ","'1 ","'- ","'41 ",
"'Rommelshaufen ","'1,4 ","'58,4 ","'706 ","'157 ","'5 ","'233 ","'10 ","'52 ","'15 ","'4 ","'30 ","'11 ","'187 ",
"'Gdymiben ","'1,6 ","'70,7 ","'793 ","'214 ","'10 ","'205 ","'41 ","'90 ","'25 ","'6 ","'37 ","'18 ","'144 ",
"'","'0,3 ","'64,8 ","'709 ","'220 ","'3 ","'195 ","'8 ","'131 ","'5 ","'1 ","'9 ","'- ","'134 ",
"'Gteinad) ","'0,4 ","'62,3 ","'127 ","'16 ","'- ","'34 ","'1 ","'8 ","'2 ","'- ","'- ","'2 ","'64 ",
