id1,id2,name1,name2,year,type
10220,10702,Abstatt,Abstatt,1842,oa_change
10221,10717,Untergruppenbach,Untergruppenbach,1842,oa_change
11125,11506,Großglattbach,Großglattbach,1842,oa_change
11126,11511,Iptingen,Iptingen,1842,oa_change
11736,31213,Geißelhardt,Geißelhardt,1842,oa_change
20428,21512,Hagelloch,Hagelloch,1842,oa_change
20736,20210,Dennjächt,Dennjächt,1842,oa_change
20737,20212,Ernstmühl,Ernstmühl,1842,oa_change
20738,20218,Bad Liebenzell,Bad Liebenzell,1842,oa_change
20739,20220,Monakam,Monakam,1842,oa_change
20740,20238,Unterhaugstett,Unterhaugstett,1842,oa_change
20741,20239,Unterreichenbach,Unterreichenbach,1842,oa_change
20831,21709,Grabenstetten,Grabenstetten,1842,oa_change
21322,21208,Dormettingen,Dormettingen,1842,oa_change
21323,21209,Dotternhausen,Dotternhausen,1842,oa_change
21324,21215,Hausen am Tann,Hausen am Tann,1842,oa_change
21325,21225,Roßwangen,Roßwangen,1842,oa_change
21531,20804,Altenriet,Altenriet,1842,oa_change
21624,21227,Schwenningen am Neckar,Schwenningen am Neckar,1842,oa_change
21729,21004,Engingen unter Achalm,Engingen unter Achalm,1842,oa_change
21730,21523,Pliezhausen,Pliezhausen,1842,oa_change
30522,30537,Raboldshausen,Billingsbach,1875,rename
30710,30732,Großallmerspann,Eckartshausen,1893,rename
31328,10602,Aichschieß,Aichschieß,1842,oa_change
40348,40104,Alberweiler,Alberweiler,1842,oa_change
40535,40503,Ganslosen,Auendorf,1865,rename
40537,40607,Hochdorf,Hochdorf,1843,oa_change
40815,40826,Moshausen,Aitrach,1888,rename
41002,41024,Altdorf,Weingarten,1865,rename
41153,41211,Braunweiler,Braunweiler,1842,oa_change
41154,41223,Großtissen,Großtissen,1842,oa_change
41251,41519,Schindelbach,Schindelbach,1842,oa_change
41321,41325,Untermeckenbeuren,Meckenbeuren,1897,rename
41322,41016,Taldorf,Taldorf,1842,oa_change
41532,40139,Stafflangen,Stafflangen,1842,oa_change
41533,41243,Reichenbach bei Schussenried,Reichenbach bei Schussenried,1842,oa_change
41619,41627,Praßberg,Leupolz,1883,rename
41625,40807,Friesenhofen,Friesenhofen,1842,oa_change
41626,40823,Winterstetten,Winterstetten,1842,oa_change
10502,11634,Fellbach,Fellbach,1923,oa_change
10505,11428,Mühlhausen,Mühlhausen,1922,oa_change
10508,11635,Oeffingen,Oeffingen,1923,oa_change
10509,11430,Rohracker,Rohracker,1923,oa_change
10510,11636,Rommelshausen,Rommelshausen,1923,oa_change
10512,10618,Schanbach,Schanbach,1923,oa_change
10513,11637,Schmiden,Schmiden,1923,oa_change
10514,11432,Sillenbuch,Sillenbuch,1925,oa_change
10515,11638,Stetten im Remstal,Stetten im Remstal,1923,oa_change
10107,10128,Fornbach,Sulzbach an der Murr,1843,independence
10108,10116,Grab,Murrahrdt,1848,independence
10110,10128,Großerlach,Sulzbach an der Murr,1848,independence
10123,10125,Roßstaig,Spiegelberg,1856,merge
10132,10125,Vorderbüchelberg,Spiegelberg,1836,merge
10431,10403,Alt-Cleebronn,Cleebronn,1844,merge
10432,10403,Neu-Cleebronn,Cleebronn,1844,merge
10607,10611,Hegensberg,Oberesslingen,1844,independence
11018,11009,Nassach,Gronau,1843,independence
11107,11111,Großvillars,Knittlingen,1867,merge
11204,11223,Bittelbronn,Möckmühl,1836,independence
11302,11301,Gaisburg,Stuttgart,1901,merge
11512,11504,Kleinglattbach,Ensingen,1894,independence
11705,11738,Brettach,Maienfels,1856,merge
11713,11729,Geddelsbach,Unterheimbach,1847,independence
11722,11738,Oberheimbach,Maienfels,1858,merge
11726,11725,Siebeneich,Schwabbach,1835,independence
11737,11704,Weißlensburg,Bitzfeld,1843,merge
20128,20129,Waldstetten,Weilheim,1821,independence
20243,20226,Eberspiel,Oberkollbach,1835,independence
20244,20224,Bergorte,Neuweiler,1850,independence
20613,20629,Enztal,Simmersfeld,1838,independence
20912,20916,Hardt,Mariazell,1843,independence
21022,21013,Bronnen,Mägerkingen,1854,independence
21430,21414,Neunthausen,Hopfau,1849,merge
30108,30119,Hofen,Wasseralfingen,1845,independence
30120,30324,Jagsthausen,Westhausen,1842,merge
30210,30212,Leukershausen,Mariäkappel,1848,independence
30534,30527,Lindlein,Schmalfelden,1849,merge
30535,30508,Beimbach,Gaggstatt,1850,independence
30536,30508,Michelbach an der Heide,Gerabronn,1850,independence
30702,30706,Arnsdorf,Enslingen,1849,independence
30717,30716,Sanzenbach,Rieden,1869,merge
30720,30727,Talheim,Vellberg,1856,merge
30731,30726,Tullau,Uttenhofen,1843,merge
30818,30819,Itzelberg,Königsbronn,1843,independence
30822,30819,Ochsenberg,Königsbronn,1843,independence
30911,30924,Criesbach,Ingelfingen,1836,independence
30934,30947,Muthofen,Westernhausen,1834,independence
30949,30908,Schöntal,Bieringen,1851,independence
