url,title,price,base_info,table_contents
https://www.gap-banknoten.de/detail/index/sArticle/145293/sCategory/230,"Jever, Stadt, 500 Mrd, 30.10.23, HU","20,00 € *",Artikel-Nr.:han_1923_2518.b_500Mrd_IIIKatalog-Nr.:1923_2518.b_500MrdErhaltung:III,Erhaltung:IIIWert:500 MrdPeriode:Hochinflation 1923Provinz:HannoverOrt:Jever
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/53456/mettmann-stadtverwaltung-5-mio-15.8.23-25.11.23-wz-li.-32-5-mm-kn-6-5-mm?c=230,"Mettmann, Stadtverwaltung, 5 Mio, 15.8.23 - 25.11.23, WZ li. 32,5 mm, KN 6,5 mm","24,00 € *",Artikel-Nr.:rhl_1923_3532.b_5Mio_III+Katalog-Nr.:1923_3532.b_5MioErhaltung:III+,Wert:5 MioErhaltung:III+Periode:Hochinflation 1923Provinz:RheinlandOrt:Mettmann
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/53030/kempen-kreis-50-mrd-10.10.23-1.4.24-reihe-a-kn-5-mm-wz-mauerwerk?c=230,"Kempen, Kreis, 50 Mrd, 10.10.23 - 1.4.24, Reihe A, KN 5 mm, Wz Mauerwerk","60,00 € *",Artikel-Nr.:rhl_1923_2605.i_50Mrd_I-Katalog-Nr.:1923_2605.i_50MrdErhaltung:I-,Erhaltung:I-Wert:50 MrdPeriode:Hochinflation 1923Provinz:RheinlandOrt:Kempen
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/55274/glauchau-neidhard-saup-50-t-18.8.23-nullen-der-wz-7-mm-hoch?c=230,"Glauchau, Neidhard & Saup, 50 T, 18.8.23, Nullen der WZ 7 mm hoch","150,00 € *",Artikel-Nr.:sac_1923_1799.fII_50T_III-Katalog-Nr.:1923_1799.fII_50TErhaltung:III-,Erhaltung:III-Provinz:SachsenPeriode:Hochinflation 1923Wert:50 TOrt:Glauchau
https://www.gap-banknoten.de/detail/index/sArticle/107072/sCategory/230,"Bremen, Finanzdeputation, 100 Mrd, 9.11.23, 6*l KN schwarz","15,00 € *",Artikel-Nr.:han_1923_0580.ga_100Mrd_IKatalog-Nr.:1923_0580.ga_100MrdErhaltung:I,Erhaltung:IWert:100 MrdPeriode:Hochinflation 1923Provinz:HannoverOrt:Bremen
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/100421/thum-erzgeb.-stadtgirokasse-100-t-1.8.23-eigenscheck-mit-us.?c=230,"Thum (Erzgeb.), Stadtgirokasse, 100 T, 1.8.23, Eigenscheck, mit Us.","40,00 € *",Artikel-Nr.:sac_1923_5165.d_100T_III-Katalog-Nr.:1923_5165.d_100TErhaltung:III-,Erhaltung:III-Wert:100 TProvinz:SachsenPeriode:Hochinflation 1923Ort:Thum (Erzgeb.)
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82243/beckum-kreis-10-mrd-25.10.23?c=230,"Beckum, Kreis, 10 Mrd, 25.10.23","30,00 € *",Artikel-Nr.:wfl_1923_0284.a_10Mrd_III-Katalog-Nr.:1923_0284.a_10MrdErhaltung:III-,Wert:10 MrdErhaltung:III-Provinz:WestfalenPeriode:Hochinflation 1923Ort:Beckum
https://www.gap-banknoten.de/detail/index/sArticle/120883/sCategory/230,"Marienstein, Gewerkschaft und Zementwerk, 1 Mio, 15.8.23","30,00 € *",Artikel-Nr.:bay_1923_3450.a_1Mio_IVKatalog-Nr.:1923_3450.a_1MioErhaltung:IV,Wert:1 MioErhaltung:IVProvinz:BayernPeriode:Hochinflation 1923Ort:Marienstein
https://www.gap-banknoten.de/detail/index/sArticle/113644/sCategory/230,"Neuhaldensleben, Sparkasse des Kreises, 200 T, 14.8.23","240,00 € *",Artikel-Nr.:prs_1923_3792_200T_IIIKatalog-Nr.:1923_3792_200TErhaltung:III,Erhaltung:IIIWert:200 TProvinz:Provinz SachsenPeriode:Hochinflation 1923Ort:Neuhaldensleben
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/82840/reisholz-a.-friedr.-flender-1-mio-14.8.23-beurath-den?c=230,"Reisholz, A. Friedr. Flender, 1 Mio, 14.8.23; ""Beurath"", ""den""","50,00 € *",Artikel-Nr.:rhl_1923_4508.a1_1Mio_IIKatalog-Nr.:1923_4508.a1_1MioErhaltung:II,Erhaltung:IIWert:1 MioPeriode:Hochinflation 1923Provinz:RheinlandOrt:Reisholz
https://www.gap-banknoten.de/detail/index/sArticle/144239/sCategory/230,"Kiel, Allgem. Konsumverein, 200 T, 28.8.23","15,00 € *",Artikel-Nr.:slho_1923_2616.a_200T_IIIKatalog-Nr.:1923_2616.a_200TErhaltung:III,Erhaltung:IIIWert:200 TProvinz:Schleswig-HolsteinPeriode:Hochinflation 1923Ort:Kiel
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/56629/zwenkau-stadtgemeinde-500-t-15.8.23-scheck-a.-girokasse?c=230,"Zwenkau, Stadtgemeinde, 500 T, 15.8.23, Scheck a. Girokasse","17,00 € *",Artikel-Nr.:sac_1923_5831.a_500T_IIKatalog-Nr.:1923_5831.a_500TErhaltung:II,Erhaltung:IIWert:500 TProvinz:SachsenPeriode:Hochinflation 1923Ort:Zwenkau
https://www.gap-banknoten.de/deutsches-notgeld-nach-perioden/hochinflation-1923/103969/schorndorf-stadt-1-mio-1.9.23-1-hu?c=230,"Schorndorf, Stadt, 1 Mio, 1.9.23, 1 HU","35,00 € *",Artikel-Nr.:wtb_1923_5041.a_1Mio_IKatalog-Nr.:1923_5041.a_1MioErhaltung:I,Erhaltung:IWert:1 MioPeriode:Hochinflation 1923Provinz:WürttembergOrt:Schorndorf
